Link,Trace,Average Bandwidth (Mbps),Average RTT (ms),Loss Rate
downlink,cellular_airport,4.5154,71.948,0
downlink,cellular_driving,56.0988,48.293,0
downlink,cellular_driving_2,5.7178,31.816,0.0036
downlink,cellular_driving_3,15.88923077,45.855,0
downlink,cellular_driving_4,6.529749431,52.926,0.0001
downlink,cellular_home,46.11015075,30.97,0
downlink,cellular_home_4,11.50133333,52.163,0
downlink,cellular_home_5,6.157485493,212.236,0
downlink,cellular_hsr,13.58797324,97.439,0.1295
downlink,cellular_hsr_2,30.74224,75.621,0.0001
downlink,cellular_hsr_3,1.467473262,68.65,0.0005
downlink,cellular_hsr_4,4.408058706,333.608,0.0649
downlink,cellular_hsr_5,5.4958,153.388,0.0055
downlink,cellular_hsr_6,8.505714286,94.892,0
downlink,cellular_hsr_7,5.338559039,100.635,0.0325
downlink,cellular_hsr_8,1.30388,108.979,0.0001
downlink,cellular_hsr_9,2.505339739,169.388,0.0001
downlink,cellular_hsr_10,22.22622517,105.235,0.2483
downlink,cellular_hsr_11,2.29928,82.824,0.2134
downlink,cellular_hsr_12,2.87544,113.335,0.03
downlink,cellular_hsr_13,9.924,88.982,0
downlink,cellular_hsr_14,21.67532487,2004.058,0.0252
downlink,cellular_hsr_15,5.713836207,174.222,0.011
downlink,cellular_hsr_16,1.840945122,129.19,0
downlink,cellular_hsr_17,3.723208255,361.611,0.0006
downlink,cellular_office,64.30630872,52.01,0
downlink,cellular_office_2,111.1045313,165.427,0
downlink,cellular_office_3,37.10571429,62.039,0.0912
downlink,cellular_office_4,36.6227027,47.906,0.001
downlink,cellular_outdoor,22.696875,114.547,0
downlink,cellular_outdoor_2,31.26947368,43.175,0.0003
downlink,cellular_outdoor_3,114.6042857,25.641,0
downlink,cellular_outdoor_4,30.66244898,105.17,0.0004
downlink,cellular_outdoor_5,31.1576087,41.073,0.0013
downlink,cellular_outdoor_6,12.70706897,49.918,0
downlink,cellular_outdoor_7,25.14526829,41.153,0
downlink,cellular_railwaystation,30.35591716,86.62,0
downlink,cellular_railwaystation_2,52.12809717,43.819,0
downlink,cellular_subway,65.09604396,29.327,0
downlink,cellular_subway_2,73.1675,55.866,0
downlink,cellular_subway_3,23.25529412,51.062,0
downlink,cellular_subway_4,44.17183099,44.529,0.0001
downlink,cellular_subway_5,35.50073394,43.478,0
downlink,cellular_subway_6,5.091851852,66.172,0
downlink,cellular_subway_7,69.33404494,35.831,0
downlink,cellular_subwaystation,50.024,30.005,0
downlink,cellular_subwaystation_2,79.87586207,29.845,0
downlink,cellular_subwaystation_3,21.206,44.57,0
downlink,cellular_subwaystation_4,39.63428571,28.901,0
downlink,cellular_subwaystation_5,73.0656,29.758,0
downlink,cellular_subwaystation_6,38.17016949,87.884,0.0026
downlink,wifi_home,20.07066667,27.366,0.0002
downlink,wifi_home_2,31.6721875,24.283,0
downlink,wifi_hsr,2.66,94.946,0.0156
downlink,wifi_office,16.90285714,8.514,0.0012
downlink,wifi_walking,3.130373027,84.26,0.0677
uplink,cellular_airport,20.57800664,71.948,0.0011
uplink,cellular_driving,13.19980044,48.293,0
uplink,cellular_driving_2,10.14,31.816,0.0002
uplink,cellular_driving_3,2.08,45.855,0
uplink,cellular_driving_4,0.866822119,52.926,0.0001
uplink,cellular_home,27.0915,30.97,0
uplink,cellular_home_4,1.133127753,52.163,0
uplink,cellular_home_5,1.127586207,212.236,0
uplink,cellular_hsr,7.712085561,97.439,0.1297
uplink,cellular_hsr_10,3.886153846,75.621,0
