Timestamp (s),Bandwidth (Mbps)
0,0
0.2,6.96
0.4,4.44
0.6,3.78
0.8,4.32
1.0,3.24
1.2,4.26
1.4,6.24
1.6,5.76
1.8,6.06
2.0,6.24
2.2,4.32
2.4,5.82
2.6,5.34
2.8,5.94
3.0,3.96
3.2,3.3
3.4,5.82
3.6,3.66
3.8,3.84
4.0,3.24
4.2,3.36
4.4,3.96
4.6,2.64
4.8,4.14
5.0,2.82
5.2,2.76
5.4,2.94
5.6,3.12
5.8,3.9
6.0,3.96
6.2,3.48
6.4,3.6
6.6,3.18
6.8,2.1
7.0,3.12
7.2,1.86
7.4,3.3
7.6,2.22
7.8,3.36
8.0,3.72
8.2,4.38
8.4,3.78
8.6,4.02
8.8,3.6
9.0,5.46
9.2,3.6
9.4,4.56
9.6,4.38
9.8,3.0
10.0,4.5
10.2,4.02
10.4,3.24
10.6,4.44
10.8,2.94
11.0,3.72
11.2,4.56
11.4,4.68
11.6,5.04
11.8,3.0
12.0,3.72
12.2,2.52
12.4,4.2
12.6,5.22
12.8,4.74
13.0,5.34
13.2,4.38
13.4,5.04
13.6,5.52
13.8,5.28
14.0,6.9
14.2,6.12
14.4,5.16
14.6,6.36
14.8,6.36
15.0,5.7
15.2,6.12
15.4,4.08
15.6,6.06
15.8,6.72
16.0,6.42
16.2,5.76
16.4,5.76
16.6,6.6
16.8,3.66
17.0,5.76
17.2,4.92
17.4,5.82
17.6,5.88
17.8,3.36
18.0,5.22
18.2,4.56
18.4,4.8
18.6,3.9
18.8,5.64
19.0,6.42
19.2,3.0
19.4,2.46
19.6,4.86
19.8,4.26
20.0,4.56
20.2,5.16
20.4,4.44
20.6,4.86
20.8,2.7
21.0,5.52
21.2,3.54
21.4,3.48
21.6,3.48
21.8,3.3
22.0,4.62
22.2,3.9
22.4,4.08
22.6,4.32
22.8,4.86
23.0,3.42
23.2,3.78
23.4,4.08
23.6,5.04
23.8,4.56
24.0,4.92
24.2,3.42
24.4,3.54
24.6,4.26
24.8,4.32
25.0,4.02
25.2,5.28
25.4,5.22
25.6,5.7
25.8,5.22
26.0,5.22
26.2,2.1
26.4,5.04
26.6,6.9
26.8,4.5
27.0,4.98
27.2,4.56
27.4,4.8
27.6,4.92
27.8,5.34
28.0,5.22
28.2,2.58
28.4,3.48
28.6,3.72
28.8,3.48
29.0,4.08
29.2,4.92
29.4,4.8
29.6,4.92
29.8,4.44
30.0,2.76
30.2,4.32
30.4,4.56
30.6,3.06
30.8,3.06
31.0,3.66
31.2,3.84
31.4,4.5
31.6,4.32
31.8,4.56
32.0,4.2
32.2,3.84
32.4,5.04
32.6,3.84
32.8,5.28
33.0,4.14
33.2,4.32
33.4,4.98
33.6,4.2
33.8,4.5
34.0,4.98
34.2,3.9
34.4,5.34
34.6,5.34
34.8,5.58
35.0,6.12
35.2,4.5
35.4,6.18
35.6,5.76
35.8,5.1
36.0,6.3
36.2,5.28
36.4,4.8
36.6,4.26
36.8,5.34
37.0,7.44
37.2,4.86
37.4,4.08
37.6,4.86
37.8,4.56
38.0,6.42
38.2,4.38
38.4,6.84
38.6,1.44
38.8,3.66
39.0,3.54
39.2,3.36
39.4,4.32
39.6,2.34
39.8,3.96
40.0,3.66
40.2,4.26
40.4,4.92
40.6,3.96
40.8,5.58
41.0,3.9
41.2,4.56
41.4,3.3
41.6,4.08
41.8,3.96
42.0,3.3
42.2,3.36
42.4,3.78
42.6,4.14
42.8,4.8
43.0,2.82
43.2,3.0
43.4,4.56
43.6,2.46
43.8,4.02
44.0,3.96
44.2,2.94
44.4,5.28
44.6,4.5
44.8,5.94
45.0,2.82
45.2,3.66
45.4,4.98
45.6,7.8
45.8,5.82
46.0,5.7
46.2,5.52
46.4,3.9
46.6,5.22
46.8,6.12
47.0,5.76
47.2,5.82
47.4,5.46
47.6,4.74
47.8,5.7
48.0,5.52
48.2,6.48
48.4,5.7
48.6,5.16
48.8,7.5
49.0,6.96
49.2,7.02
49.4,4.8
49.6,2.94
49.8,3.78
50.0,4.2
50.2,4.14
50.4,3.96
50.6,4.14
50.8,4.14
51.0,4.32
51.2,2.88
51.4,3.36
51.6,3.48
51.8,5.4
52.0,3.54
52.2,5.64
52.4,6.0
52.6,5.82
52.8,3.6
53.0,4.14
53.2,4.62
53.4,4.5
53.6,5.1
53.8,4.62
54.0,5.1
54.2,6.72
54.4,4.38
54.6,4.56
54.8,2.16
55.0,2.28
55.2,5.94
55.4,5.28
55.6,5.94
55.8,4.08
56.0,4.92
56.2,5.7
56.4,2.64
56.6,2.4
56.8,3.48
57.0,4.08
57.2,3.78
57.4,3.54
57.6,2.82
57.8,5.04
58.0,4.92
58.2,5.82
58.4,3.48
58.6,5.7
58.8,5.4
59.0,4.86
59.2,6.06
59.4,6.0
59.6,5.4
59.8,6.9
60.0,2.7
