Timestamp (s),Bandwidth (Mbps)
0,0
0.2,1.08
0.4,0.36
0.6,1.02
0.8,1.74
1.0,1.8
1.2,2.28
1.4,2.1
1.6,1.32
1.8,1.44
2.0,1.14
2.2,1.32
2.4,1.8
2.6,2.1
2.8,2.16
3.0,1.56
3.2,0.18
3.4,1.02
3.6,2.16
3.8,0.66
4.0,0.0
4.2,0.96
4.4,1.14
4.6,2.34
4.8,3.0
5.0,3.48
5.2,1.26
5.4,1.02
5.6,1.74
5.8,0.96
6.0,0.36
6.2,1.62
6.4,2.34
6.6,0.48
6.8,0.48
7.0,1.5
7.2,2.4
7.4,1.32
7.6,0.96
7.8,1.86
8.0,0.42
8.2,0.0
8.4,0.0
8.6,0.06
8.8,0.0
9.0,0.0
9.2,0.24
9.4,0.12
9.6,0.0
9.8,0.0
10.0,0.0
10.2,0.0
10.4,0.0
10.6,0.0
10.8,0.0
11.0,0.0
11.2,0.0
11.4,0.0
11.6,0.0
11.8,0.06
12.0,0.12
12.2,0.0
12.4,0.06
12.6,0.0
12.8,0.0
13.0,0.0
13.2,4.5
13.4,4.68
13.6,5.88
13.8,3.06
14.0,4.02
14.2,7.02
14.4,7.68
14.6,8.04
14.8,4.44
15.0,3.48
15.2,11.22
15.4,8.16
15.6,10.5
15.8,9.72
16.0,7.02
16.2,2.52
16.4,6.54
16.6,8.28
16.8,4.56
17.0,4.68
17.2,7.32
17.4,7.32
17.6,8.16
17.8,9.6
18.0,7.14
18.2,1.98
18.4,2.46
18.6,8.1
18.8,9.3
19.0,8.1
19.2,3.42
19.4,2.88
19.6,6.72
19.8,6.84
20.0,6.6
20.2,3.0
20.4,11.94
20.6,7.38
20.8,11.52
21.0,8.28
21.2,11.4
21.4,11.34
21.6,9.96
21.8,13.74
22.0,10.68
22.2,10.74
22.4,4.44
22.6,8.28
22.8,6.96
23.0,6.96
23.2,8.46
23.4,8.34
23.6,7.08
23.8,7.62
24.0,5.58
24.2,0.0
24.4,0.0
24.6,0.0
24.8,0.0
25.0,0.0
25.2,0.0
25.4,0.0
25.6,0.06
25.8,2.04
26.0,1.68
26.2,6.06
26.4,7.26
26.6,1.62
26.8,3.96
27.0,5.34
27.2,8.82
27.4,3.78
27.6,3.36
27.8,4.62
28.0,1.14
28.2,3.42
28.4,2.22
28.6,4.62
28.8,3.54
29.0,2.52
29.2,1.92
29.4,2.28
29.6,2.28
29.8,1.92
30.0,3.66
30.2,0.06
30.4,0.66
30.6,0.42
30.8,0.48
31.0,0.3
31.2,0.48
31.4,0.12
31.6,0.48
31.8,0.48
32.0,0.06
32.2,0.36
32.4,0.54
32.6,0.24
32.8,0.42
33.0,1.8
33.2,0.06
33.4,1.32
33.6,0.36
33.8,1.62
34.0,0.9
34.2,0.66
34.4,0.96
34.6,0.42
34.8,1.14
35.0,0.84
35.2,0.66
35.4,0.54
35.6,0.54
35.8,3.0
36.0,1.14
36.2,3.42
36.4,4.44
36.6,3.96
36.8,4.68
37.0,3.24
37.2,4.56
37.4,2.64
37.6,0.66
37.8,1.32
38.0,0.6
38.2,2.16
38.4,0.9
38.6,1.32
38.8,3.0
39.0,5.7
39.2,4.98
39.4,6.18
39.6,6.18
39.8,6.12
40.0,6.72
40.2,8.58
40.4,8.58
40.6,9.18
40.8,6.06
41.0,7.62
41.2,9.42
41.4,7.56
41.6,10.56
41.8,7.02
42.0,9.48
42.2,7.14
42.4,8.94
42.6,6.48
42.8,7.56
43.0,7.68
43.2,8.04
43.4,7.2
43.6,4.8
43.8,2.58
44.0,3.36
44.2,1.86
44.4,3.84
44.6,8.46
44.8,5.52
45.0,4.2
45.2,4.26
45.4,8.34
45.6,7.86
45.8,10.2
46.0,11.28
46.2,11.64
46.4,11.1
46.6,9.48
46.8,12.12
47.0,14.82
47.2,14.1
47.4,12.12
47.6,8.16
47.8,5.46
48.0,6.96
48.2,7.5
48.4,8.82
48.6,8.82
48.8,9.48
49.0,12.36
49.2,8.7
49.4,7.02
49.6,10.32
49.8,8.7
50.0,11.82
50.2,10.92
50.4,18.0
50.6,17.28
50.8,20.7
51.0,16.26
51.2,10.92
51.4,11.1
51.6,8.88
51.8,10.68
52.0,12.42
52.2,12.24
52.4,13.92
52.6,15.48
52.8,8.16
53.0,3.6
53.2,1.92
53.4,6.72
53.6,3.3
53.8,6.9
54.0,8.82
54.2,8.34
54.4,6.42
54.6,8.34
54.8,3.24
55.0,10.56
55.2,10.8
55.4,8.16
55.6,8.22
55.8,11.22
56.0,10.38
56.2,10.38
56.4,10.92
56.6,13.74
56.8,12.24
57.0,14.82
57.2,15.3
57.4,20.58
57.6,11.16
57.8,15.36
58.0,19.2
58.2,12.9
58.4,16.62
58.6,13.56
58.8,14.94
59.0,15.18
59.2,17.94
59.4,17.88
59.6,20.52
59.8,27.36
60.0,24.66
60.2,20.7
60.4,22.62
60.6,19.68
60.8,24.96
61.0,27.42
61.2,25.74
61.4,25.98
61.6,23.04
61.8,30.54
62.0,19.92
62.2,18.66
62.4,23.94
62.6,19.38
62.8,14.94
63.0,15.6
63.2,18.72
63.4,8.88
63.6,11.22
63.8,16.02
64.0,16.62
64.2,18.12
64.4,17.4
64.6,16.08
64.8,27.96
65.0,34.38
65.2,28.32
65.4,29.16
65.6,24.06
65.8,29.34
66.0,26.04
66.2,29.22
66.4,24.9
66.6,33.06
66.8,29.88
67.0,31.32
67.2,30.42
67.4,37.74
67.6,22.44
67.8,19.74
68.0,19.62
68.2,21.66
68.4,20.4
68.6,21.9
68.8,18.66
69.0,22.98
69.2,23.88
69.4,20.94
69.6,19.8
69.8,22.68
70.0,19.26
70.2,17.94
70.4,22.8
70.6,20.82
70.8,18.54
71.0,25.32
71.2,20.28
71.4,21.18
71.6,20.16
71.8,20.1
72.0,21.42
72.2,7.08
72.4,22.14
72.6,20.34
