Timestamp (s),Bandwidth (Mbps)
0,0
0.2,13.98
0.4,21.72
0.6,21.84
0.8,23.58
1.0,23.64
1.2,23.16
1.4,23.04
1.6,22.92
1.8,24.18
2.0,21.66
2.2,19.98
2.4,23.4
2.6,20.76
2.8,22.62
3.0,20.88
3.2,24.06
3.4,22.86
3.6,20.4
3.8,20.34
4.0,24.54
4.2,24.12
4.4,21.24
4.6,23.7
4.8,26.34
5.0,26.52
5.2,25.2
5.4,25.26
5.6,22.02
5.8,24.24
6.0,10.56
6.2,6.96
6.4,4.32
6.6,4.74
6.8,8.16
7.0,6.12
7.2,5.4
7.4,5.1
7.6,5.76
7.8,5.52
8.0,5.4
8.2,5.1
8.4,4.86
8.6,5.82
8.8,5.58
9.0,5.28
9.2,5.34
9.4,5.52
9.6,5.46
9.8,5.4
10.0,5.16
10.2,5.4
10.4,5.34
10.6,5.4
10.8,5.64
11.0,5.28
11.2,5.34
11.4,5.28
11.6,5.34
11.8,5.7
12.0,5.34
12.2,5.28
12.4,5.22
12.6,5.4
12.8,5.34
13.0,5.7
13.2,5.04
13.4,4.44
13.6,6.6
13.8,5.16
14.0,5.52
14.2,4.38
14.4,6.06
14.6,5.82
14.8,5.1
15.0,5.22
15.2,5.16
15.4,5.64
15.6,5.28
15.8,5.16
16.0,5.34
16.2,6.0
16.4,5.28
16.6,5.52
16.8,5.28
17.0,5.64
17.2,5.28
17.4,5.1
17.6,4.68
17.8,5.7
18.0,5.82
18.2,5.58
18.4,5.22
18.6,5.46
18.8,5.34
19.0,5.28
19.2,5.1
19.4,5.52
19.6,5.28
19.8,5.76
20.0,5.04
20.2,5.88
20.4,5.28
20.6,5.28
20.8,5.46
21.0,4.98
21.2,5.94
21.4,4.74
21.6,5.64
21.8,5.76
22.0,4.86
22.2,5.7
22.4,5.22
22.6,5.52
22.8,5.34
23.0,5.46
23.2,5.34
23.4,5.28
23.6,5.4
23.8,5.4
24.0,5.34
24.2,5.64
24.4,5.34
24.6,2.04
24.8,7.86
25.0,3.96
25.2,5.76
25.4,3.9
25.6,5.1
25.8,6.96
26.0,6.3
26.2,5.94
26.4,4.62
26.6,4.32
26.8,7.86
27.0,5.04
27.2,5.82
27.4,4.62
27.6,5.94
27.8,5.4
28.0,5.1
28.2,5.52
28.4,5.58
28.6,5.46
28.8,5.16
29.0,5.64
29.2,4.8
29.4,5.46
29.6,5.64
29.8,5.22
30.0,5.16
30.2,5.94
30.4,5.22
30.6,5.58
30.8,5.4
31.0,4.98
31.2,4.2
31.4,3.96
31.6,3.06
31.8,5.76
32.0,10.02
32.2,4.68
32.4,6.0
32.6,5.82
32.8,4.8
33.0,5.7
33.2,5.46
33.4,5.4
33.6,5.52
33.8,5.16
34.0,5.46
34.2,5.52
34.4,5.34
34.6,5.34
34.8,5.28
35.0,5.46
35.2,4.86
35.4,5.7
35.6,5.58
35.8,5.34
36.0,5.22
36.2,5.58
36.4,5.22
36.6,4.5
36.8,6.24
37.0,5.04
37.2,5.76
37.4,5.52
37.6,4.98
37.8,5.28
38.0,5.7
38.2,4.68
38.4,5.4
38.6,6.18
38.8,4.5
39.0,6.0
39.2,5.34
39.4,5.82
39.6,5.28
39.8,4.26
40.0,6.3
40.2,5.46
40.4,5.52
40.6,5.22
40.8,4.38
41.0,6.18
41.2,5.4
41.4,5.46
41.6,5.46
41.8,4.98
42.0,5.76
42.2,5.4
42.4,5.28
42.6,4.32
42.8,6.72
43.0,4.56
43.2,5.16
43.4,6.18
43.6,5.46
43.8,5.1
44.0,5.16
44.2,5.82
44.4,5.46
44.6,5.34
44.8,5.4
45.0,5.04
45.2,5.82
45.4,4.74
45.6,5.76
45.8,5.46
46.0,5.34
46.2,5.46
46.4,5.34
46.6,5.34
46.8,5.1
47.0,5.88
47.2,5.34
47.4,5.46
47.6,4.92
47.8,5.4
48.0,5.28
48.2,5.88
48.4,5.16
48.6,5.16
48.8,5.76
49.0,4.74
49.2,5.88
49.4,5.58
49.6,5.22
49.8,5.64
50.0,4.56
50.2,6.24
50.4,4.32
50.6,6.12
50.8,5.58
51.0,5.28
51.2,5.58
51.4,5.16
51.6,4.56
51.8,6.12
52.0,5.16
52.2,5.4
52.4,5.7
52.6,5.4
52.8,5.04
53.0,5.64
