Timestamp (s),Bandwidth (Mbps)
0,0
0.2,8.52
0.4,10.56
0.6,11.16
0.8,9.9
1.0,10.38
1.2,10.38
1.4,9.36
1.6,9.9
1.8,8.52
2.0,7.62
2.2,7.86
2.4,10.14
2.6,10.08
2.8,11.04
3.0,7.38
3.2,8.16
3.4,9.12
3.6,10.5
3.8,0.78
4.0,5.7
4.2,8.88
4.4,9.24
4.6,9.48
4.8,8.34
5.0,10.08
5.2,9.9
5.4,10.08
5.6,9.12
5.8,10.44
6.0,9.0
6.2,9.42
6.4,9.54
6.6,9.84
6.8,9.54
7.0,10.44
7.2,9.24
7.4,9.9
7.6,10.26
7.8,9.18
8.0,9.54
8.2,9.84
8.4,10.74
8.6,8.82
8.8,9.9
9.0,10.44
9.2,9.48
9.4,10.56
9.6,10.8
9.8,10.62
10.0,10.56
10.2,10.38
10.4,11.1
10.6,9.72
10.8,10.14
11.0,12.18
11.2,11.1
11.4,11.52
11.6,10.68
11.8,10.86
12.0,10.62
12.2,10.02
12.4,11.46
12.6,11.58
12.8,11.4
13.0,9.96
13.2,9.78
13.4,10.02
13.6,9.78
13.8,9.54
14.0,9.84
14.2,9.06
14.4,9.12
14.6,10.26
14.8,9.72
15.0,9.18
15.2,8.4
15.4,7.68
15.6,9.96
15.8,9.78
16.0,9.9
16.2,10.38
16.4,11.22
16.6,11.94
16.8,10.5
17.0,10.98
17.2,11.28
17.4,11.16
17.6,10.68
17.8,9.06
18.0,11.7
18.2,10.38
18.4,10.8
18.6,10.56
18.8,11.52
19.0,11.28
19.2,10.74
19.4,11.04
19.6,11.64
19.8,11.64
20.0,10.8
20.2,11.88
20.4,9.78
20.6,9.24
20.8,11.1
21.0,10.92
21.2,10.86
21.4,10.92
21.6,11.22
21.8,11.04
22.0,10.92
22.2,11.7
22.4,11.28
22.6,11.1
22.8,11.64
23.0,11.04
23.2,10.98
23.4,11.1
23.6,8.46
23.8,10.2
24.0,10.86
24.2,11.16
24.4,11.28
24.6,10.86
24.8,10.98
25.0,11.16
25.2,10.92
25.4,9.96
25.6,10.62
25.8,10.02
26.0,11.1
26.2,13.02
26.4,12.54
26.6,12.9
26.8,13.32
27.0,11.76
27.2,10.8
27.4,9.42
27.6,8.76
27.8,11.16
28.0,11.82
28.2,9.6
28.4,12.06
28.6,11.4
28.8,11.16
29.0,11.28
29.2,12.36
29.4,10.08
29.6,9.72
29.8,6.6
30.0,7.98
30.2,8.04
30.4,9.36
30.6,8.16
30.8,8.04
31.0,7.02
31.2,8.28
31.4,6.72
31.6,7.86
31.8,8.16
32.0,7.98
32.2,8.76
32.4,5.76
32.6,7.92
32.8,9.78
33.0,9.06
33.2,8.82
33.4,6.9
33.6,6.18
33.8,5.28
34.0,5.58
34.2,3.36
34.4,2.7
34.6,3.18
34.8,6.42
35.0,5.34
35.2,5.16
35.4,6.24
35.6,4.92
35.8,5.34
36.0,4.02
36.2,3.36
36.4,4.38
36.6,6.0
36.8,6.66
37.0,7.5
37.2,7.8
37.4,9.24
37.6,4.62
37.8,6.9
38.0,8.4
38.2,8.88
38.4,7.74
38.6,10.14
38.8,7.98
39.0,9.06
39.2,9.24
39.4,9.84
39.6,9.9
39.8,5.34
