Timestamp (s),Bandwidth (Mbps)
0,0
0.2,8.94
0.4,13.14
0.6,14.04
0.8,7.92
1.0,3.72
1.2,3.18
1.4,4.74
1.6,2.58
1.8,5.22
2.0,0.84
2.2,2.7
2.4,2.1
2.6,2.16
2.8,3.12
3.0,5.04
3.2,2.34
3.4,5.52
3.6,5.1
3.8,8.04
4.0,11.82
4.2,10.56
4.4,12.72
4.6,8.4
4.8,4.62
5.0,8.28
5.2,5.34
5.4,5.88
5.6,8.76
5.8,1.32
6.0,4.5
6.2,3.36
6.4,1.86
6.6,3.6
6.8,1.38
7.0,5.94
7.2,5.64
7.4,3.96
7.6,0.6
7.8,3.96
8.0,2.4
8.2,5.34
8.4,6.18
8.6,2.22
8.8,4.86
9.0,0.6
9.2,3.48
9.4,11.4
9.6,6.96
9.8,8.88
10.0,9.0
10.2,10.02
10.4,9.78
10.6,7.98
10.8,9.72
11.0,9.48
11.2,8.28
11.4,8.46
11.6,11.76
11.8,8.22
12.0,12.42
12.2,11.34
12.4,6.78
12.6,12.96
12.8,10.02
13.0,6.6
13.2,10.2
13.4,9.54
13.6,5.52
13.8,9.3
14.0,10.62
14.2,11.28
14.4,7.86
14.6,11.94
14.8,9.66
15.0,8.4
15.2,9.72
15.4,12.3
15.6,9.72
15.8,13.62
16.0,14.22
16.2,11.34
16.4,11.04
16.6,9.48
16.8,13.8
17.0,10.62
17.2,13.2
17.4,15.0
17.6,9.3
17.8,13.5
18.0,15.24
18.2,10.68
18.4,13.92
18.6,14.04
18.8,11.22
19.0,16.32
19.2,15.18
19.4,11.94
19.6,12.18
19.8,13.26
20.0,11.58
20.2,13.14
20.4,12.0
20.6,18.66
20.8,11.82
21.0,18.9
21.2,15.48
21.4,14.1
21.6,5.28
21.8,2.4
22.0,8.52
22.2,18.3
22.4,17.64
22.6,13.38
22.8,18.06
23.0,15.54
23.2,11.34
23.4,13.62
23.6,11.46
23.8,19.56
24.0,10.02
24.2,14.88
24.4,16.56
24.6,13.38
24.8,8.52
25.0,24.12
25.2,9.9
25.4,13.26
25.6,11.76
25.8,9.78
26.0,6.48
26.2,18.0
26.4,15.78
26.6,17.7
26.8,13.92
27.0,17.28
27.2,11.52
27.4,20.64
27.6,16.8
27.8,14.7
28.0,18.06
28.2,15.6
28.4,13.62
28.6,14.16
28.8,16.68
29.0,10.8
29.2,15.3
29.4,16.2
29.6,17.88
29.8,16.68
30.0,17.7
30.2,21.24
30.4,10.26
30.6,19.68
30.8,17.88
31.0,12.78
31.2,20.58
31.4,17.22
31.6,9.6
31.8,12.3
32.0,12.06
32.2,12.72
32.4,4.14
32.6,12.54
32.8,14.76
33.0,15.12
33.2,16.8
33.4,14.4
33.6,7.98
33.8,16.86
34.0,18.24
34.2,14.88
34.4,13.38
34.6,12.84
34.8,9.3
35.0,16.98
35.2,19.8
35.4,17.4
35.6,19.68
35.8,22.14
36.0,17.34
36.2,17.16
36.4,16.2
36.6,21.36
36.8,11.82
37.0,17.88
37.2,18.9
37.4,14.46
37.6,8.04
37.8,18.0
38.0,13.92
38.2,17.28
38.4,10.44
38.6,1.86
38.8,10.68
39.0,9.78
39.2,10.2
39.4,8.7
39.6,11.82
39.8,11.7
40.0,13.2
40.2,21.96
40.4,20.04
40.6,9.18
40.8,15.9
41.0,14.46
41.2,4.26
41.4,12.96
41.6,7.32
41.8,10.14
42.0,14.94
42.2,5.1
42.4,7.2
42.6,9.72
42.8,8.88
43.0,17.22
43.2,13.02
43.4,16.86
43.6,15.06
43.8,12.36
44.0,18.84
44.2,18.3
44.4,14.82
44.6,18.36
44.8,19.62
45.0,5.28
