Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.42
0.4,3.9
0.6,0.0
0.8,4.62
1.0,6.78
1.2,9.84
1.4,4.8
1.6,3.54
1.8,3.24
2.0,3.96
2.2,2.64
2.4,1.98
2.6,1.74
2.8,0.66
3.0,1.26
3.2,1.92
3.4,0.0
3.6,0.24
3.8,2.82
4.0,3.06
4.2,2.34
4.4,1.74
4.6,1.8
4.8,1.5
5.0,1.5
5.2,1.62
5.4,2.16
5.6,2.76
5.8,2.28
6.0,2.52
6.2,2.64
6.4,3.54
6.6,4.5
6.8,4.38
7.0,6.6
7.2,3.96
7.4,11.94
7.6,10.8
7.8,9.78
8.0,9.6
8.2,9.72
8.4,9.3
8.6,10.02
8.8,10.68
9.0,11.16
9.2,7.98
9.4,4.92
9.6,6.78
9.8,7.32
10.0,7.44
10.2,4.68
10.4,5.04
10.6,4.62
10.8,5.34
11.0,4.5
11.2,3.24
11.4,2.82
11.6,0.9
11.8,1.5
12.0,0.66
12.2,0.78
12.4,0.66
12.6,0.72
12.8,0.42
13.0,0.3
13.2,0.54
13.4,1.08
13.6,0.6
13.8,0.54
14.0,0.42
14.2,0.24
14.4,0.0
14.6,0.0
14.8,1.2
15.0,2.76
15.2,2.82
15.4,3.3
15.6,2.52
15.8,2.76
16.0,5.28
16.2,3.48
16.4,4.26
16.6,3.66
16.8,3.78
17.0,3.06
17.2,3.36
17.4,2.88
17.6,2.82
17.8,3.12
18.0,2.4
18.2,3.6
18.4,2.82
18.6,2.04
18.8,4.56
19.0,0.66
19.2,0.06
19.4,0.6
19.6,0.66
19.8,0.66
20.0,0.18
20.2,0.0
20.4,0.0
20.6,0.0
20.8,0.0
21.0,0.0
21.2,0.0
21.4,0.0
21.6,0.0
21.8,1.32
22.0,1.56
22.2,1.38
22.4,0.9
22.6,1.56
22.8,0.66
23.0,1.32
23.2,1.14
23.4,1.38
23.6,2.04
23.8,3.66
24.0,4.08
24.2,5.28
24.4,10.14
24.6,12.54
24.8,18.48
25.0,23.64
25.2,22.38
25.4,33.96
25.6,26.7
25.8,8.1
