Timestamp (s),Bandwidth (Mbps)
0,0
0.2,9.6
0.4,38.94
0.6,46.08
0.8,26.94
1.0,42.3
1.2,27.66
1.4,22.44
1.6,7.8
1.8,24.78
2.0,11.76
2.2,12.36
2.4,13.32
2.6,9.72
2.8,41.58
3.0,50.94
3.2,64.92
3.4,50.1
3.6,67.02
3.8,57.0
4.0,30.48
4.2,56.52
4.4,68.22
4.6,40.62
4.8,15.48
5.0,69.24
5.2,51.66
5.4,74.76
5.6,5.1
5.8,20.16
6.0,9.84
6.2,37.08
6.4,60.18
6.6,35.04
6.8,41.94
7.0,87.66
7.2,54.54
7.4,38.82
7.6,36.72
7.8,40.08
8.0,18.54
8.2,7.92
8.4,27.06
8.6,9.66
8.8,14.46
9.0,6.42
9.2,0.3
9.4,0.78
9.6,0.24
9.8,1.68
10.0,0.0
10.2,0.0
10.4,0.0
10.6,0.0
10.8,0.0
11.0,0.0
11.2,0.0
11.4,0.0
11.6,0.0
11.8,0.0
12.0,0.0
12.2,0.0
12.4,0.0
12.6,0.0
12.8,0.0
13.0,0.0
13.2,0.78
13.4,0.66
13.6,1.56
13.8,1.62
14.0,3.3
14.2,7.02
14.4,0.0
14.6,2.04
14.8,2.58
15.0,6.12
15.2,2.52
15.4,0.0
15.6,0.0
15.8,0.0
16.0,6.12
16.2,3.12
16.4,2.4
16.6,1.98
16.8,0.0
17.0,0.0
17.2,0.0
17.4,1.14
17.6,0.0
17.8,1.38
18.0,0.0
18.2,0.0
18.4,0.0
18.6,0.0
18.8,0.0
19.0,0.0
19.2,0.0
19.4,0.0
19.6,0.36
19.8,0.0
20.0,0.0
20.2,0.0
20.4,0.0
20.6,0.42
20.8,0.0
21.0,0.0
21.2,0.42
21.4,0.0
21.6,0.06
21.8,2.76
22.0,1.02
22.2,0.0
22.4,0.42
22.6,0.0
22.8,0.36
23.0,0.0
23.2,1.74
23.4,1.8
23.6,0.0
23.8,0.0
24.0,0.0
24.2,0.0
24.4,0.72
24.6,0.42
24.8,0.06
25.0,0.0
25.2,1.44
25.4,1.2
25.6,0.24
25.8,3.3
26.0,2.94
26.2,7.02
26.4,3.24
26.6,2.52
26.8,0.78
27.0,7.26
27.2,7.44
27.4,9.42
27.6,14.34
27.8,1.62
28.0,1.98
28.2,4.2
28.4,0.9
28.6,0.78
28.8,0.0
29.0,0.0
29.2,1.8
29.4,0.0
29.6,0.0
29.8,0.0
30.0,0.0
30.2,0.0
30.4,0.0
30.6,0.42
30.8,0.0
31.0,0.0
31.2,0.0
31.4,0.0
31.6,0.0
31.8,0.24
32.0,0.0
32.2,0.0
