Timestamp (s),Bandwidth (Mbps)
0,0
0.2,12.42
0.4,13.44
0.6,13.14
0.8,12.18
1.0,13.02
1.2,14.4
1.4,13.44
1.6,12.6
1.8,12.24
2.0,10.2
2.2,12.18
2.4,14.04
2.6,12.36
2.8,12.42
3.0,12.9
3.2,12.84
3.4,12.24
3.6,12.48
3.8,12.66
4.0,12.42
4.2,11.4
4.4,11.34
4.6,12.6
4.8,10.62
5.0,13.68
5.2,12.24
5.4,12.36
5.6,12.48
5.8,12.96
6.0,12.6
6.2,12.78
6.4,10.44
6.6,9.54
6.8,9.96
7.0,8.64
7.2,5.58
7.4,4.98
7.6,8.94
7.8,11.16
8.0,4.02
8.2,6.36
8.4,6.12
8.6,6.18
8.8,6.36
9.0,6.48
9.2,5.76
9.4,6.9
9.6,6.24
9.8,6.0
10.0,5.7
10.2,6.12
10.4,6.42
10.6,6.6
10.8,5.58
11.0,4.74
11.2,4.38
11.4,6.66
11.6,6.3
11.8,7.02
12.0,7.26
12.2,11.58
12.4,12.12
12.6,11.82
12.8,11.7
13.0,11.52
13.2,11.4
13.4,12.18
13.6,12.3
13.8,11.46
14.0,9.24
14.2,9.6
14.4,8.94
14.6,12.54
14.8,11.76
15.0,12.12
15.2,12.72
15.4,12.84
15.6,12.36
15.8,12.06
16.0,12.0
16.2,12.06
16.4,12.42
16.6,12.36
16.8,11.82
17.0,11.22
17.2,12.06
17.4,11.82
17.6,13.14
17.8,12.42
18.0,12.24
18.2,11.94
18.4,12.54
18.6,12.36
18.8,12.42
19.0,12.66
19.2,10.92
19.4,12.48
19.6,11.82
19.8,12.96
20.0,13.32
20.2,12.12
20.4,12.0
20.6,11.7
20.8,10.44
21.0,9.96
21.2,10.2
21.4,7.56
21.6,8.52
21.8,10.74
22.0,8.16
22.2,9.6
22.4,11.82
22.6,11.58
22.8,11.88
23.0,11.4
23.2,12.24
23.4,11.46
23.6,11.58
23.8,9.0
24.0,11.22
24.2,11.4
24.4,10.8
24.6,9.78
24.8,11.76
25.0,10.74
25.2,11.58
25.4,11.64
25.6,11.22
25.8,12.3
26.0,10.74
26.2,10.08
26.4,10.32
26.6,11.94
26.8,11.46
27.0,11.28
27.2,11.76
27.4,10.68
27.6,10.26
27.8,11.64
28.0,12.0
28.2,9.96
28.4,10.56
28.6,11.88
28.8,12.12
29.0,12.42
29.2,11.94
29.4,12.18
29.6,12.12
29.8,12.36
30.0,12.78
30.2,12.84
30.4,13.38
30.6,13.32
30.8,12.48
31.0,12.42
31.2,12.54
31.4,12.12
31.6,12.3
31.8,12.72
32.0,12.66
32.2,12.9
32.4,13.08
32.6,12.18
32.8,12.18
33.0,12.48
33.2,12.36
33.4,12.48
33.6,11.88
33.8,7.38
34.0,3.48
34.2,10.62
34.4,11.7
34.6,10.2
34.8,11.64
35.0,10.56
35.2,10.86
35.4,11.82
35.6,12.96
35.8,11.52
36.0,12.36
36.2,11.94
36.4,12.72
36.6,12.48
36.8,13.26
37.0,12.78
37.2,12.18
37.4,9.66
37.6,7.8
37.8,8.58
38.0,10.08
38.2,12.24
38.4,11.94
38.6,12.36
38.8,12.96
39.0,9.54
39.2,11.76
39.4,12.54
39.6,11.46
39.8,11.04
40.0,10.38
40.2,12.9
40.4,12.84
40.6,10.5
40.8,12.18
41.0,14.16
41.2,12.54
41.4,11.76
41.6,12.84
41.8,11.34
42.0,11.04
42.2,12.6
42.4,9.66
42.6,11.34
42.8,13.38
43.0,13.44
43.2,13.32
43.4,12.66
43.6,12.96
43.8,13.2
44.0,13.08
44.2,13.44
44.4,13.02
44.6,12.6
44.8,12.6
45.0,12.66
45.2,12.78
45.4,13.02
45.6,11.82
45.8,12.96
46.0,13.38
46.2,13.02
46.4,13.08
46.6,13.08
46.8,11.52
47.0,11.34
47.2,11.4
47.4,10.62
47.6,9.6
47.8,11.28
48.0,12.42
48.2,13.08
48.4,13.38
48.6,13.02
48.8,13.74
49.0,13.86
49.2,13.08
49.4,13.62
49.6,13.56
49.8,13.44
50.0,12.6
50.2,12.0
50.4,11.46
50.6,11.52
50.8,13.56
51.0,13.74
51.2,13.62
51.4,13.08
51.6,13.02
51.8,13.5
52.0,13.44
52.2,13.38
52.4,14.1
52.6,13.5
52.8,12.66
53.0,10.8
53.2,12.9
53.4,13.2
53.6,13.74
53.8,12.96
54.0,13.5
54.2,12.9
54.4,13.26
54.6,13.38
54.8,13.56
55.0,12.96
55.2,12.78
55.4,12.9
55.6,12.18
55.8,12.3
56.0,13.8
56.2,13.68
56.4,13.74
56.6,13.56
56.8,12.48
57.0,13.8
57.2,13.44
57.4,13.86
57.6,11.34
57.8,3.9
58.0,3.84
58.2,6.72
58.4,5.88
58.6,4.98
58.8,3.48
59.0,4.8
59.2,4.2
59.4,4.92
59.6,3.84
