Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.84
0.4,7.8
0.6,13.2
0.8,12.72
1.0,11.82
1.2,12.48
1.4,12.06
1.6,13.2
1.8,11.88
2.0,10.5
2.2,7.26
2.4,9.36
2.6,16.98
2.8,17.58
3.0,17.1
3.2,16.68
3.4,17.34
3.6,17.64
3.8,16.26
4.0,11.7
4.2,10.74
4.4,10.14
4.6,0.0
4.8,15.0
5.0,16.8
5.2,10.38
5.4,13.8
5.6,8.88
5.8,11.52
6.0,10.68
6.2,10.62
6.4,10.38
6.6,9.06
6.8,12.84
7.0,10.92
7.2,8.52
7.4,10.32
7.6,11.58
7.8,11.16
8.0,10.32
8.2,9.72
8.4,11.94
8.6,10.8
8.8,11.1
9.0,9.48
9.2,10.32
9.4,9.24
9.6,11.82
9.8,9.96
10.0,10.74
10.2,11.34
10.4,10.98
10.6,10.62
10.8,10.08
11.0,9.54
11.2,10.5
11.4,10.44
11.6,9.84
11.8,10.86
12.0,12.0
12.2,10.2
12.4,11.16
12.6,8.64
12.8,10.44
13.0,9.18
13.2,10.86
13.4,10.56
13.6,11.1
13.8,10.56
14.0,11.52
14.2,11.34
14.4,10.98
14.6,10.38
14.8,10.32
15.0,10.74
15.2,10.08
15.4,11.52
15.6,11.34
15.8,11.28
16.0,10.02
16.2,8.22
16.4,12.48
16.6,9.72
16.8,10.44
17.0,11.28
17.2,11.64
17.4,10.68
17.6,10.2
17.8,11.52
18.0,9.06
18.2,11.76
18.4,9.36
18.6,11.58
18.8,11.04
19.0,10.5
19.2,10.8
19.4,10.5
19.6,10.44
19.8,9.66
20.0,11.46
20.2,10.68
20.4,10.5
20.6,10.92
20.8,10.32
21.0,11.04
21.2,11.94
21.4,10.2
21.6,9.72
21.8,10.38
22.0,9.3
22.2,10.14
22.4,11.52
22.6,9.9
22.8,11.58
23.0,10.32
23.2,10.38
23.4,10.14
23.6,10.98
23.8,8.82
24.0,11.58
24.2,10.98
24.4,11.22
24.6,10.68
24.8,10.68
25.0,8.94
25.2,11.7
25.4,10.08
25.6,8.7
