Timestamp (s),Bandwidth (Mbps)
0,0
0.2,4.32
0.4,9.06
0.6,13.44
0.8,14.34
1.0,10.56
1.2,9.12
1.4,8.58
1.6,2.4
1.8,3.54
2.0,5.34
2.2,5.76
2.4,12.12
2.6,21.48
2.8,5.34
3.0,4.8
3.2,6.06
3.4,6.06
3.6,23.28
3.8,16.38
4.0,5.88
4.2,14.82
4.4,3.12
4.6,12.3
4.8,6.18
5.0,14.22
5.2,14.34
5.4,13.08
5.6,8.4
5.8,18.12
6.0,8.16
6.2,4.38
6.4,15.0
6.6,9.48
6.8,14.52
7.0,10.08
7.2,11.46
7.4,9.78
7.6,15.06
7.8,9.84
8.0,11.94
8.2,9.36
8.4,10.5
8.6,9.24
8.8,7.38
9.0,10.08
9.2,14.58
9.4,14.52
9.6,8.88
9.8,8.04
10.0,6.6
10.2,13.26
10.4,6.24
10.6,12.6
10.8,10.5
11.0,10.74
11.2,13.68
11.4,8.4
11.6,6.42
11.8,9.84
12.0,14.34
12.2,15.24
12.4,9.24
12.6,11.76
12.8,11.22
13.0,6.9
13.2,10.8
13.4,11.76
13.6,9.18
13.8,10.68
14.0,15.06
14.2,6.0
14.4,6.0
14.6,9.18
14.8,12.12
15.0,13.02
15.2,12.18
15.4,17.64
15.6,19.08
15.8,11.88
16.0,9.42
16.2,14.28
16.4,8.28
16.6,15.06
16.8,12.0
17.0,7.32
17.2,16.62
17.4,15.42
17.6,14.94
17.8,15.18
18.0,9.66
18.2,11.4
18.4,13.8
18.6,12.0
18.8,11.4
19.0,13.98
19.2,8.76
19.4,14.04
19.6,13.98
19.8,15.3
20.0,13.5
20.2,16.5
20.4,21.18
20.6,18.18
20.8,18.54
21.0,17.04
21.2,9.54
21.4,10.68
21.6,13.14
21.8,9.9
22.0,11.28
22.2,8.16
22.4,15.9
22.6,13.5
22.8,14.4
23.0,11.94
23.2,11.88
23.4,7.74
23.6,15.18
23.8,14.52
24.0,10.56
24.2,9.72
24.4,10.2
24.6,7.26
24.8,9.66
25.0,15.0
25.2,11.64
25.4,11.46
25.6,3.78
