Timestamp (s),Bandwidth (Mbps)
0,0
0.2,6.12
0.4,4.5
0.6,5.94
0.8,3.12
1.0,4.38
1.2,3.12
1.4,7.14
1.6,14.34
1.8,15.54
2.0,15.06
2.2,14.94
2.4,14.04
2.6,7.98
2.8,7.68
3.0,2.04
3.2,3.0
3.4,2.04
3.6,2.4
3.8,1.2
4.0,6.36
4.2,7.86
4.4,2.64
4.6,7.02
4.8,10.44
5.0,8.16
5.2,8.22
5.4,11.7
5.6,7.02
5.8,4.02
6.0,3.96
6.2,2.28
6.4,2.94
6.6,0.66
6.8,2.52
7.0,8.94
7.2,13.2
7.4,10.56
7.6,3.0
7.8,2.94
8.0,10.2
8.2,8.46
8.4,7.2
8.6,17.64
8.8,14.34
9.0,12.72
9.2,10.8
9.4,10.56
9.6,16.62
9.8,6.18
10.0,11.22
10.2,3.0
10.4,3.12
10.6,3.12
10.8,16.8
11.0,24.12
11.2,6.6
11.4,10.08
11.6,19.92
11.8,22.86
12.0,14.28
12.2,21.3
12.4,28.02
12.6,26.28
12.8,27.96
13.0,25.68
13.2,15.24
13.4,7.38
13.6,5.1
13.8,5.28
14.0,3.6
14.2,13.86
14.4,16.02
14.6,11.82
14.8,15.48
15.0,16.32
15.2,10.74
15.4,9.18
15.6,18.78
15.8,22.14
16.0,14.88
16.2,17.94
16.4,14.22
16.6,10.38
16.8,15.66
17.0,6.42
17.2,18.12
17.4,8.16
17.6,16.2
17.8,14.04
18.0,8.4
18.2,13.62
18.4,8.82
18.6,16.92
18.8,25.56
19.0,30.18
19.2,25.2
19.4,20.58
19.6,25.98
19.8,23.88
20.0,24.54
20.2,26.76
20.4,24.66
20.6,10.56
20.8,20.28
21.0,11.04
21.2,26.1
21.4,24.48
21.6,17.4
21.8,15.78
22.0,19.98
22.2,20.76
22.4,21.6
22.6,15.18
22.8,17.4
23.0,20.22
23.2,13.08
