Timestamp (s),Bandwidth (Mbps)
0,0
0.2,1.44
0.4,6.6
0.6,7.86
0.8,6.06
1.0,5.1
1.2,5.94
1.4,6.84
1.6,4.92
1.8,4.74
2.0,7.56
2.2,4.5
2.4,6.84
2.6,8.7
2.8,8.46
3.0,10.8
3.2,8.28
3.4,5.16
3.6,6.84
3.8,6.24
4.0,8.94
4.2,7.32
4.4,9.96
4.6,7.26
4.8,8.94
5.0,7.32
5.2,9.78
5.4,6.54
5.6,9.66
5.8,23.28
6.0,12.48
6.2,26.34
6.4,25.62
6.6,23.82
6.8,31.08
7.0,23.88
7.2,22.44
7.4,29.82
7.6,34.44
7.8,29.4
8.0,20.1
8.2,32.7
8.4,38.82
8.6,24.72
8.8,27.54
9.0,28.32
9.2,13.98
9.4,11.22
9.6,28.2
9.8,18.3
10.0,24.42
10.2,4.38
10.4,3.54
10.6,0.0
10.8,0.0
11.0,4.92
11.2,5.94
11.4,4.38
11.6,2.1
11.8,1.08
12.0,9.3
12.2,9.24
12.4,6.96
12.6,6.36
12.8,9.0
13.0,14.4
13.2,9.96
13.4,4.56
13.6,3.24
13.8,1.86
14.0,0.36
14.2,0.12
14.4,1.26
14.6,4.14
14.8,5.04
15.0,6.66
15.2,9.48
15.4,6.54
15.6,5.1
15.8,4.08
16.0,3.48
16.2,4.62
16.4,3.54
16.6,2.76
16.8,5.88
17.0,9.0
17.2,12.6
17.4,12.18
17.6,5.76
17.8,7.2
18.0,4.5
18.2,5.1
18.4,1.02
18.6,1.86
18.8,6.18
19.0,6.42
19.2,5.34
19.4,5.4
19.6,8.76
19.8,8.28
20.0,8.94
20.2,7.32
20.4,6.12
20.6,8.88
20.8,7.68
21.0,8.52
21.2,9.78
21.4,4.62
21.6,6.3
21.8,4.38
22.0,5.94
22.2,4.8
22.4,5.34
22.6,6.18
22.8,7.8
23.0,2.82
23.2,13.38
23.4,7.92
23.6,7.2
23.8,7.5
24.0,9.6
24.2,7.32
24.4,5.4
24.6,5.82
24.8,5.16
25.0,5.16
25.2,4.2
25.4,6.06
25.6,4.26
25.8,6.12
26.0,4.92
26.2,5.34
26.4,4.56
26.6,0.96
26.8,1.32
27.0,1.14
27.2,0.24
27.4,0.36
27.6,0.12
27.8,0.48
28.0,5.4
28.2,5.22
28.4,6.78
28.6,8.46
28.8,13.56
29.0,10.14
29.2,14.16
29.4,12.0
29.6,11.94
29.8,11.94
30.0,11.22
30.2,5.64
30.4,7.14
30.6,7.08
30.8,8.58
31.0,6.3
31.2,4.8
31.4,7.2
31.6,6.12
31.8,8.88
32.0,4.08
32.2,7.5
32.4,3.54
32.6,3.36
32.8,4.38
33.0,1.32
33.2,0.24
33.4,0.0
33.6,1.74
33.8,2.4
34.0,1.56
34.2,1.56
34.4,2.28
34.6,3.96
34.8,4.98
35.0,3.42
35.2,4.74
35.4,4.14
35.6,2.22
35.8,3.36
36.0,7.2
36.2,7.2
36.4,8.4
36.6,8.88
36.8,9.0
37.0,6.0
37.2,4.38
37.4,4.86
37.6,4.8
37.8,2.46
38.0,7.62
38.2,2.76
38.4,5.4
38.6,1.68
38.8,2.34
39.0,2.1
39.2,7.26
39.4,3.36
39.6,4.02
39.8,8.64
40.0,3.6
40.2,3.12
40.4,3.18
40.6,3.66
40.8,3.66
41.0,4.02
41.2,6.24
41.4,4.2
41.6,1.62
41.8,3.96
42.0,4.38
42.2,1.92
42.4,6.48
42.6,8.76
42.8,9.84
43.0,10.8
43.2,9.9
43.4,9.18
43.6,7.38
43.8,0.72
44.0,2.04
44.2,4.26
44.4,6.24
44.6,5.64
44.8,2.16
45.0,3.42
45.2,5.34
45.4,3.54
45.6,6.84
45.8,8.04
46.0,8.1
46.2,6.78
46.4,10.2
46.6,8.4
46.8,8.4
47.0,1.92
47.2,2.4
47.4,0.0
47.6,0.0
47.8,0.0
48.0,0.0
48.2,0.0
48.4,0.0
48.6,0.0
48.8,0.0
49.0,0.0
49.2,0.0
49.4,7.68
49.6,19.74
49.8,9.0
50.0,25.8
50.2,14.88
50.4,1.38
50.6,0.0
50.8,0.0
51.0,4.56
51.2,23.22
51.4,15.84
51.6,20.34
51.8,12.3
52.0,16.98
52.2,12.72
52.4,13.26
52.6,6.0
52.8,28.44
53.0,35.28
53.2,26.64
53.4,25.86
53.6,21.84
53.8,10.08
54.0,22.98
54.2,28.08
54.4,43.74
54.6,22.74
54.8,27.66
55.0,32.34
55.2,18.78
55.4,39.36
55.6,33.78
55.8,39.72
56.0,36.36
56.2,37.5
56.4,20.4
56.6,15.84
56.8,28.68
57.0,35.04
57.2,32.46
57.4,20.88
57.6,21.66
57.8,15.9
58.0,39.06
58.2,27.96
58.4,29.46
58.6,10.8
58.8,19.86
59.0,22.2
59.2,26.16
59.4,17.52
59.6,25.32
59.8,27.12
60.0,25.38
60.2,25.56
60.4,26.28
60.6,38.04
60.8,18.12
61.0,27.78
61.2,18.06
61.4,31.8
61.6,29.82
61.8,27.06
62.0,26.76
62.2,18.54
62.4,21.24
62.6,26.82
62.8,18.9
63.0,26.64
63.2,18.96
63.4,25.5
63.6,25.14
63.8,25.98
64.0,32.1
64.2,12.66
64.4,22.26
64.6,31.14
64.8,21.06
65.0,23.82
65.2,19.32
65.4,21.36
65.6,19.26
65.8,2.88
66.0,16.26
66.2,13.74
66.4,14.46
66.6,20.34
66.8,23.34
67.0,25.74
67.2,26.88
67.4,22.32
67.6,28.92
67.8,24.96
68.0,22.68
