Timestamp (s),Bandwidth (Mbps)
0,0
0.2,4.98
0.4,12.36
0.6,12.72
0.8,13.08
1.0,13.38
1.2,14.16
1.4,11.04
1.6,7.14
1.8,11.22
2.0,10.86
2.2,12.18
2.4,6.3
2.6,13.2
2.8,7.5
3.0,9.42
3.2,14.94
3.4,11.7
3.6,12.6
3.8,11.7
4.0,12.84
4.2,11.82
4.4,13.32
4.6,10.92
4.8,10.2
5.0,11.52
5.2,12.42
5.4,9.24
5.6,9.36
5.8,7.86
6.0,9.66
6.2,9.66
6.4,11.7
6.6,10.14
6.8,11.04
7.0,10.5
7.2,11.16
7.4,11.28
7.6,8.34
7.8,7.62
8.0,11.34
8.2,8.76
8.4,9.9
8.6,8.88
8.8,10.86
9.0,11.46
9.2,10.2
9.4,9.78
9.6,9.96
9.8,9.9
10.0,9.96
10.2,8.22
10.4,10.08
10.6,8.7
10.8,8.76
11.0,9.36
11.2,5.7
11.4,7.68
11.6,5.1
11.8,7.8
12.0,7.86
12.2,7.44
12.4,7.26
12.6,7.38
12.8,7.8
13.0,7.62
13.2,4.8
13.4,7.2
13.6,9.54
13.8,9.0
14.0,10.56
14.2,3.84
14.4,6.84
14.6,9.24
14.8,8.28
15.0,7.92
15.2,7.02
15.4,7.98
15.6,8.82
15.8,9.24
16.0,7.62
16.2,9.78
16.4,9.42
16.6,8.04
16.8,8.7
17.0,9.12
17.2,7.92
17.4,7.8
17.6,7.14
17.8,6.84
18.0,8.52
18.2,7.5
18.4,8.22
18.6,8.58
18.8,8.52
19.0,7.32
19.2,7.08
19.4,5.46
19.6,3.36
19.8,8.28
20.0,5.04
20.2,5.04
20.4,3.24
20.6,4.44
20.8,3.72
21.0,6.0
21.2,7.44
21.4,6.78
21.6,7.2
21.8,8.7
22.0,5.04
22.2,8.1
22.4,10.14
22.6,6.36
22.8,7.26
23.0,8.1
23.2,7.08
23.4,4.86
23.6,6.78
23.8,1.8
24.0,8.64
24.2,8.4
24.4,7.38
24.6,6.42
24.8,9.0
25.0,9.0
25.2,6.6
25.4,6.96
25.6,7.56
25.8,8.7
26.0,8.58
26.2,6.96
26.4,8.94
26.6,8.16
26.8,5.82
27.0,5.88
27.2,6.72
27.4,9.42
27.6,6.72
27.8,7.44
28.0,2.82
28.2,2.76
28.4,4.14
28.6,5.52
28.8,8.4
29.0,7.14
29.2,7.5
29.4,8.22
29.6,4.2
29.8,7.92
30.0,7.62
30.2,2.58
30.4,8.46
30.6,3.42
30.8,0.48
31.0,3.96
31.2,8.52
31.4,7.14
31.6,11.88
31.8,7.32
32.0,9.06
32.2,10.62
32.4,9.0
32.6,6.9
32.8,15.24
33.0,11.64
33.2,13.32
33.4,13.08
33.6,4.14
33.8,15.54
34.0,11.76
34.2,14.1
34.4,11.88
34.6,10.68
34.8,15.24
35.0,13.62
35.2,10.92
35.4,13.92
35.6,14.64
35.8,10.32
36.0,13.56
36.2,13.2
36.4,11.52
36.6,13.5
36.8,12.48
37.0,13.8
37.2,11.34
37.4,5.34
37.6,11.34
37.8,10.44
38.0,12.42
38.2,13.08
38.4,11.22
38.6,7.8
38.8,4.98
39.0,12.48
39.2,13.8
39.4,11.7
39.6,9.6
39.8,9.06
40.0,13.98
40.2,5.46
40.4,6.78
40.6,14.1
40.8,11.22
41.0,11.22
41.2,12.3
41.4,9.66
41.6,13.32
41.8,14.28
42.0,10.38
42.2,13.62
42.4,7.74
42.6,13.68
42.8,11.7
43.0,9.48
43.2,14.22
43.4,10.32
43.6,12.78
43.8,14.88
44.0,8.34
44.2,13.8
44.4,8.76
44.6,13.5
44.8,13.8
45.0,10.26
45.2,14.34
45.4,9.66
45.6,12.48
45.8,11.04
46.0,12.06
46.2,12.72
46.4,14.82
46.6,13.38
46.8,12.96
47.0,12.36
47.2,15.6
47.4,11.88
47.6,14.46
47.8,12.6
48.0,12.72
48.2,13.74
48.4,12.72
48.6,14.1
48.8,13.68
49.0,13.98
49.2,13.38
49.4,13.02
49.6,12.66
49.8,10.44
50.0,11.22
50.2,4.02
50.4,11.34
50.6,11.82
50.8,13.26
51.0,12.96
51.2,14.34
51.4,11.7
51.6,9.18
51.8,14.94
52.0,12.84
52.2,12.6
52.4,13.98
52.6,11.88
52.8,14.28
53.0,13.92
53.2,9.84
53.4,13.62
53.6,11.94
53.8,12.18
54.0,13.32
54.2,10.8
54.4,13.2
54.6,11.76
54.8,13.02
55.0,13.56
55.2,10.68
55.4,13.38
55.6,12.72
55.8,13.38
56.0,13.5
56.2,10.56
56.4,12.24
56.6,12.66
56.8,13.08
57.0,13.14
57.2,9.72
57.4,6.3
57.6,10.02
57.8,4.56
58.0,13.02
58.2,12.18
58.4,11.88
58.6,12.36
58.8,12.12
59.0,12.0
59.2,12.84
59.4,11.4
59.6,13.02
59.8,13.92
60.0,12.18
60.2,13.14
60.4,13.08
60.6,11.82
60.8,12.9
61.0,11.16
61.2,11.7
61.4,10.86
61.6,11.34
61.8,12.6
62.0,11.4
62.2,11.22
62.4,14.1
62.6,11.88
62.8,11.28
63.0,11.58
63.2,10.56
63.4,13.44
63.6,11.52
63.8,12.9
64.0,12.84
64.2,10.98
64.4,13.74
64.6,11.22
64.8,13.2
65.0,11.4
65.2,10.74
65.4,12.48
65.6,12.36
65.8,10.8
66.0,13.62
66.2,13.26
66.4,11.52
66.6,12.96
66.8,9.36
67.0,11.22
67.2,10.74
67.4,9.3
67.6,12.24
67.8,14.7
68.0,9.9
68.2,12.3
68.4,12.78
68.6,13.86
68.8,13.14
69.0,10.98
69.2,9.78
69.4,11.64
69.6,11.22
69.8,10.02
70.0,12.06
70.2,12.54
70.4,10.2
70.6,11.04
70.8,15.12
71.0,12.36
71.2,13.02
71.4,13.62
71.6,11.4
71.8,10.68
72.0,10.38
72.2,9.24
72.4,3.48
72.6,10.08
72.8,5.34
73.0,4.5
73.2,1.02
73.4,8.46
73.6,3.24
73.8,4.38
74.0,9.3
74.2,7.02
74.4,5.76
74.6,3.84
74.8,6.9
75.0,11.16
75.2,10.68
75.4,8.52
75.6,10.38
75.8,3.18
76.0,12.6
76.2,14.52
76.4,10.02
76.6,11.88
76.8,11.64
77.0,11.7
77.2,13.26
77.4,10.38
77.6,14.22
77.8,11.52
78.0,11.34
78.2,13.8
78.4,14.1
78.6,12.6
78.8,11.52
79.0,12.3
79.2,11.7
79.4,12.0
79.6,12.48
79.8,11.82
80.0,11.82
80.2,12.96
80.4,13.8
80.6,13.14
80.8,12.72
81.0,11.76
81.2,13.32
81.4,14.58
81.6,10.86
81.8,12.84
82.0,12.06
82.2,13.8
82.4,12.96
82.6,9.24
82.8,13.92
83.0,12.78
