Timestamp (s),Bandwidth (Mbps)
0,0
0.2,2.7
0.4,6.42
0.6,7.68
0.8,5.04
1.0,7.98
1.2,9.96
1.4,8.34
1.6,9.06
1.8,6.9
2.0,2.82
2.2,4.56
2.4,4.62
2.6,3.24
2.8,0.06
3.0,0.12
3.2,0.36
3.4,6.72
3.6,12.24
3.8,18.96
4.0,16.56
4.2,10.26
4.4,20.64
4.6,21.06
4.8,18.84
5.0,19.14
5.2,18.9
5.4,22.98
5.6,18.96
5.8,10.26
6.0,13.86
6.2,11.94
6.4,19.02
6.6,20.16
6.8,16.62
7.0,14.88
7.2,0.84
7.4,0.0
7.6,0.0
7.8,0.24
8.0,3.12
8.2,1.44
8.4,2.82
8.6,3.3
8.8,11.1
9.0,4.8
9.2,9.24
9.4,16.56
9.6,13.26
9.8,7.68
10.0,0.6
10.2,4.2
10.4,6.48
10.6,11.28
10.8,15.3
11.0,15.48
11.2,16.8
11.4,15.96
11.6,16.74
11.8,16.86
12.0,16.74
12.2,17.34
12.4,18.0
12.6,19.38
12.8,18.0
13.0,16.44
13.2,19.02
13.4,17.94
13.6,16.2
13.8,14.4
14.0,10.74
14.2,11.34
14.4,9.48
14.6,11.34
14.8,15.9
15.0,18.0
15.2,20.04
15.4,20.7
15.6,23.7
15.8,22.5
16.0,24.42
16.2,25.56
16.4,27.78
16.6,24.36
16.8,22.8
17.0,20.52
17.2,9.84
17.4,8.28
17.6,22.92
17.8,24.24
18.0,24.0
18.2,18.84
