Timestamp (s),Bandwidth (Mbps)
0,0
0.2,4.62
0.4,3.84
0.6,2.58
0.8,5.58
1.0,5.52
1.2,11.04
1.4,9.36
1.6,13.26
1.8,10.62
2.0,21.06
2.2,11.4
2.4,5.58
2.6,0.96
2.8,9.24
3.0,9.24
3.2,9.42
3.4,11.76
3.6,5.04
3.8,10.14
4.0,9.0
4.2,2.76
4.4,10.38
4.6,14.16
4.8,13.14
5.0,14.46
5.2,18.54
5.4,19.38
5.6,16.62
5.8,14.1
6.0,4.92
6.2,16.98
6.4,11.76
6.6,21.0
6.8,19.26
7.0,21.72
7.2,21.72
7.4,15.0
7.6,16.26
7.8,17.76
8.0,16.02
8.2,18.6
8.4,17.7
8.6,13.74
8.8,16.26
9.0,16.98
9.2,6.24
9.4,19.74
9.6,22.08
9.8,22.08
10.0,19.92
10.2,23.58
10.4,20.76
10.6,14.34
10.8,11.1
11.0,25.68
11.2,15.84
11.4,22.38
11.6,20.82
11.8,19.38
12.0,25.08
12.2,3.24
12.4,12.66
12.6,9.66
12.8,20.64
13.0,19.14
13.2,16.86
13.4,14.76
13.6,19.38
13.8,23.04
14.0,23.46
14.2,21.06
14.4,7.5
