Timestamp (s),Bandwidth (Mbps)
0,0
0.2,4.92
0.4,10.62
0.6,10.08
0.8,9.9
1.0,9.3
1.2,9.0
1.4,9.42
1.6,7.62
1.8,8.88
2.0,9.9
2.2,9.54
2.4,6.24
2.6,9.54
2.8,8.34
3.0,10.44
3.2,10.62
3.4,11.4
3.6,10.8
3.8,11.16
4.0,10.32
4.2,10.8
4.4,9.66
4.6,9.6
4.8,9.54
5.0,10.38
5.2,11.52
5.4,11.52
5.6,11.76
5.8,9.24
6.0,10.02
6.2,10.2
6.4,13.14
6.6,11.04
6.8,12.6
7.0,12.84
7.2,10.86
7.4,11.34
7.6,9.0
7.8,11.58
8.0,10.08
8.2,11.16
8.4,11.04
8.6,10.68
8.8,10.08
9.0,12.66
9.2,6.96
9.4,11.28
9.6,12.36
9.8,11.22
10.0,11.04
10.2,10.62
10.4,10.86
10.6,11.28
10.8,10.68
11.0,11.16
11.2,11.94
11.4,10.26
11.6,10.38
11.8,10.92
12.0,9.9
12.2,9.6
12.4,9.24
12.6,4.26
12.8,0.54
13.0,7.86
13.2,10.62
13.4,10.26
13.6,8.4
13.8,8.64
14.0,10.08
14.2,10.62
14.4,9.36
14.6,9.48
14.8,11.04
15.0,5.76
