Timestamp (s),Bandwidth (Mbps)
0,0
0.2,6.18
0.4,9.36
0.6,9.96
0.8,4.62
1.0,5.52
1.2,6.66
1.4,7.56
1.6,12.96
1.8,5.04
2.0,4.38
2.2,6.72
2.4,6.24
2.6,9.36
2.8,5.88
3.0,8.64
3.2,12.84
3.4,9.6
3.6,10.8
3.8,8.7
4.0,10.08
4.2,10.68
4.4,13.44
4.6,11.64
4.8,11.94
5.0,10.8
5.2,11.82
5.4,10.62
5.6,15.42
5.8,14.4
6.0,10.62
6.2,21.84
6.4,23.7
6.6,25.56
6.8,27.66
7.0,25.32
7.2,17.4
7.4,17.22
7.6,11.28
7.8,9.06
8.0,18.36
8.2,18.36
8.4,22.86
8.6,20.04
8.8,21.12
9.0,24.78
9.2,24.24
9.4,22.14
9.6,22.98
9.8,24.18
10.0,8.46
10.2,12.48
10.4,12.48
10.6,15.54
10.8,6.78
11.0,11.94
11.2,11.34
11.4,2.58
11.6,9.78
11.8,8.28
12.0,12.78
12.2,12.96
12.4,13.92
12.6,19.02
12.8,21.66
13.0,24.54
13.2,16.14
13.4,22.32
13.6,16.02
13.8,6.06
14.0,24.66
14.2,22.86
14.4,26.1
14.6,25.8
14.8,27.66
15.0,16.74
