Timestamp (s),Bandwidth (Mbps)
0,0
0.2,3.3
0.4,5.4
0.6,4.62
0.8,14.46
1.0,23.64
1.2,19.68
1.4,8.46
1.6,8.94
1.8,7.8
2.0,8.64
2.2,9.48
2.4,4.08
2.6,16.2
2.8,7.08
3.0,16.62
3.2,11.52
3.4,7.14
3.6,1.86
3.8,11.58
4.0,7.02
4.2,15.48
4.4,9.78
4.6,8.52
4.8,8.64
5.0,11.82
5.2,7.62
5.4,12.24
5.6,12.42
5.8,2.94
6.0,6.36
6.2,12.24
6.4,4.8
6.6,8.52
6.8,5.16
7.0,15.54
7.2,8.64
7.4,0.0
7.6,6.48
7.8,4.8
8.0,1.2
8.2,8.46
8.4,7.74
8.6,5.1
8.8,7.02
9.0,12.36
9.2,23.1
9.4,0.6
9.6,9.9
9.8,5.28
10.0,4.32
10.2,19.86
10.4,29.46
10.6,15.6
10.8,8.1
11.0,27.3
11.2,22.38
11.4,5.76
11.6,15.96
11.8,7.38
12.0,8.52
12.2,8.46
12.4,13.08
12.6,8.64
12.8,18.36
13.0,15.78
13.2,15.48
13.4,12.36
13.6,8.28
13.8,7.02
14.0,3.06
14.2,7.26
14.4,9.12
14.6,11.7
14.8,10.5
15.0,8.58
15.2,11.28
15.4,9.9
15.6,19.92
15.8,10.62
16.0,9.96
16.2,6.66
16.4,8.22
16.6,4.56
16.8,3.48
17.0,5.04
17.2,9.18
17.4,4.68
17.6,6.72
17.8,10.02
18.0,2.28
