Timestamp (s),Bandwidth (Mbps)
0,0
0.2,5.1
0.4,6.54
0.6,18.3
0.8,35.7
1.0,26.4
1.2,17.94
1.4,0.6
1.6,2.88
1.8,1.86
2.0,14.88
2.2,13.02
2.4,13.32
2.6,4.98
2.8,10.32
3.0,6.24
3.2,19.86
3.4,7.92
3.6,15.24
3.8,20.88
4.0,7.32
4.2,0.0
4.4,0.0
4.6,1.32
4.8,0.12
5.0,13.2
5.2,21.12
5.4,23.28
5.6,15.78
5.8,9.66
6.0,31.26
6.2,2.94
6.4,2.04
6.6,7.98
6.8,13.98
7.0,13.32
7.2,7.92
7.4,15.18
7.6,0.0
7.8,9.24
8.0,13.26
8.2,4.26
8.4,7.98
8.6,6.78
8.8,35.28
9.0,12.12
9.2,17.88
9.4,10.5
9.6,6.72
9.8,28.44
10.0,0.66
10.2,3.06
10.4,3.0
10.6,5.34
10.8,16.02
11.0,20.4
11.2,13.44
11.4,24.54
11.6,24.12
11.8,9.66
12.0,27.3
12.2,22.32
12.4,15.72
12.6,16.92
12.8,9.06
13.0,32.7
13.2,22.86
13.4,12.9
13.6,23.1
13.8,25.56
14.0,10.44
14.2,6.72
14.4,13.02
14.6,7.08
14.8,9.3
15.0,17.04
15.2,19.68
15.4,18.66
15.6,2.58
15.8,2.22
16.0,2.16
16.2,14.34
16.4,44.88
16.6,16.86
16.8,32.1
17.0,11.28
17.2,11.64
17.4,10.8
17.6,12.6
17.8,17.7
18.0,22.32
18.2,14.7
18.4,16.74
18.6,14.04
18.8,4.44
19.0,7.08
19.2,13.68
19.4,4.5
19.6,7.26
19.8,8.94
20.0,30.0
20.2,17.7
20.4,13.74
20.6,22.68
20.8,17.04
21.0,1.74
21.2,0.6
21.4,9.84
21.6,26.52
21.8,30.36
22.0,19.26
22.2,15.6
22.4,32.22
22.6,24.6
22.8,19.92
23.0,25.32
23.2,23.94
23.4,26.22
23.6,22.32
23.8,21.9
24.0,14.1
24.2,22.98
24.4,21.24
24.6,36.84
24.8,19.26
25.0,26.7
25.2,22.02
25.4,40.38
25.6,17.76
25.8,19.62
26.0,21.66
26.2,17.58
26.4,11.28
26.6,8.58
26.8,29.4
27.0,26.1
27.2,22.38
27.4,19.38
27.6,27.48
27.8,14.82
28.0,10.92
28.2,6.96
28.4,5.88
28.6,12.18
28.8,22.56
29.0,12.0
29.2,4.56
29.4,2.76
29.6,2.94
29.8,25.74
30.0,9.36
30.2,9.9
30.4,30.9
30.6,29.58
30.8,17.82
31.0,10.44
31.2,40.56
31.4,29.28
31.6,22.62
31.8,35.04
32.0,25.32
32.2,15.72
32.4,21.36
32.6,33.54
32.8,15.78
33.0,21.24
33.2,2.28
33.4,2.94
33.6,28.8
33.8,23.28
34.0,11.52
34.2,18.36
34.4,8.34
34.6,33.48
34.8,20.58
35.0,13.14
35.2,1.56
35.4,2.52
35.6,6.0
35.8,9.96
36.0,20.88
36.2,10.92
36.4,4.8
36.6,21.0
36.8,18.0
37.0,22.44
37.2,13.26
37.4,27.9
37.6,20.94
37.8,16.32
38.0,13.86
38.2,10.5
38.4,6.84
