Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.24
0.4,0.0
0.6,0.0
0.8,0.24
1.0,0.0
1.2,0.6
1.4,0.9
1.6,0.18
1.8,0.6
2.0,0.54
2.2,0.42
2.4,0.84
2.6,0.06
2.8,0.54
3.0,0.06
3.2,0.66
3.4,0.78
3.6,0.0
3.8,0.66
4.0,0.84
4.2,0.18
4.4,1.08
4.6,0.72
4.8,0.0
5.0,0.66
5.2,1.02
5.4,0.66
5.6,0.0
5.8,0.66
6.0,0.96
6.2,0.18
6.4,0.48
6.6,1.14
6.8,0.12
7.0,0.3
7.2,0.78
7.4,0.18
7.6,0.54
7.8,0.84
8.0,0.9
8.2,0.18
8.4,0.06
8.6,0.54
8.8,1.08
9.0,0.6
9.2,0.84
9.4,0.84
9.6,1.08
9.8,0.54
10.0,0.0
10.2,1.08
10.4,1.08
10.6,0.48
10.8,0.18
11.0,1.5
11.2,0.12
11.4,0.06
11.6,1.2
11.8,0.3
12.0,0.06
12.2,0.0
12.4,0.06
12.6,0.0
12.8,0.12
13.0,0.06
13.2,0.0
13.4,0.0
13.6,0.06
13.8,0.0
14.0,0.0
14.2,0.06
14.4,0.0
14.6,0.0
14.8,0.0
15.0,0.06
15.2,0.0
15.4,0.0
15.6,0.18
15.8,0.0
16.0,0.12
16.2,0.0
16.4,1.02
16.6,3.0
16.8,1.74
17.0,0.0
17.2,0.42
17.4,0.42
17.6,0.66
17.8,0.66
18.0,0.3
18.2,0.18
18.4,0.42
18.6,0.12
18.8,1.38
19.0,0.42
19.2,0.9
19.4,0.3
19.6,1.32
19.8,1.74
20.0,1.5
20.2,1.56
20.4,1.56
20.6,0.78
20.8,1.74
21.0,0.6
21.2,0.42
21.4,1.14
21.6,0.24
21.8,0.72
22.0,1.2
22.2,1.26
22.4,0.18
22.6,1.8
22.8,1.02
23.0,0.54
23.2,0.36
23.4,1.5
23.6,0.36
23.8,1.74
24.0,0.72
24.2,0.96
24.4,1.86
24.6,1.32
24.8,1.56
25.0,1.14
25.2,1.32
25.4,1.44
25.6,1.44
25.8,1.38
26.0,1.26
26.2,1.08
26.4,1.32
26.6,1.38
26.8,0.9
27.0,1.5
27.2,0.9
27.4,1.2
27.6,1.38
27.8,1.02
28.0,0.72
28.2,1.68
28.4,0.66
28.6,0.84
28.8,0.96
29.0,0.9
29.2,1.26
29.4,1.86
29.6,1.08
29.8,1.02
30.0,0.96
30.2,2.1
30.4,1.2
30.6,1.44
30.8,1.26
31.0,1.32
31.2,1.44
31.4,0.96
31.6,1.14
31.8,1.62
32.0,1.08
32.2,1.56
32.4,1.44
32.6,0.96
32.8,1.2
33.0,0.42
33.2,0.36
33.4,0.18
33.6,0.54
33.8,0.66
34.0,1.32
34.2,0.24
34.4,0.3
34.6,1.08
34.8,0.72
35.0,0.42
35.2,1.02
35.4,0.84
35.6,0.18
35.8,0.66
36.0,0.6
36.2,0.06
36.4,0.6
36.6,0.24
36.8,0.66
37.0,0.36
37.2,0.48
37.4,0.48
37.6,0.9
37.8,0.48
38.0,0.78
38.2,1.26
38.4,1.02
38.6,0.48
38.8,1.14
39.0,1.38
39.2,0.48
39.4,0.96
39.6,1.5
39.8,0.9
40.0,0.9
40.2,0.18
40.4,1.68
40.6,0.3
40.8,1.26
41.0,1.5
41.2,0.06
41.4,0.0
41.6,0.6
41.8,1.5
42.0,0.54
42.2,1.68
42.4,0.96
42.6,0.42
42.8,1.26
43.0,0.84
43.2,0.6
43.4,0.48
43.6,1.2
43.8,0.54
44.0,0.78
44.2,0.96
44.4,0.6
44.6,0.06
44.8,3.0
45.0,0.0
45.2,1.14
45.4,0.48
45.6,1.14
45.8,1.14
46.0,0.84
46.2,0.66
46.4,1.2
46.6,1.38
46.8,1.02
47.0,1.44
47.2,0.6
47.4,1.44
47.6,0.66
47.8,0.78
48.0,0.72
48.2,1.74
48.4,0.36
48.6,0.24
48.8,0.0
49.0,1.56
49.2,0.0
49.4,0.0
49.6,1.14
49.8,0.06
50.0,1.2
50.2,0.24
50.4,1.38
50.6,1.44
50.8,0.84
51.0,0.24
51.2,0.24
51.4,0.6
51.6,1.44
51.8,1.62
52.0,0.48
52.2,2.04
52.4,1.32
52.6,1.14
52.8,1.32
53.0,1.74
53.2,1.26
53.4,1.02
53.6,0.9
53.8,1.08
54.0,0.84
54.2,1.14
54.4,0.72
54.6,1.8
54.8,1.38
55.0,2.28
55.2,0.9
55.4,2.04
55.6,3.3
55.8,1.14
56.0,1.98
56.2,2.22
56.4,1.32
56.6,2.64
56.8,1.8
57.0,3.06
57.2,2.46
57.4,2.52
57.6,2.4
57.8,2.88
58.0,1.68
58.2,1.92
58.4,3.72
58.6,2.94
58.8,2.76
59.0,3.54
59.2,2.04
59.4,2.22
59.6,3.0
59.8,3.06
60.0,1.86
60.2,3.18
60.4,2.82
60.6,2.16
60.8,3.0
61.0,3.6
61.2,2.28
61.4,3.9
61.6,3.0
61.8,3.12
62.0,1.92
62.2,2.34
62.4,2.28
62.6,1.92
62.8,3.66
63.0,2.7
63.2,1.92
63.4,1.68
63.6,1.86
63.8,0.6
64.0,2.64
64.2,1.98
64.4,1.2
64.6,0.9
64.8,0.84
65.0,1.02
65.2,1.02
65.4,1.08
65.6,0.84
65.8,0.54
66.0,1.2
66.2,1.2
66.4,1.08
66.6,1.26
66.8,0.66
67.0,1.38
67.2,0.78
67.4,0.96
67.6,1.14
67.8,0.96
68.0,1.02
68.2,1.26
68.4,0.9
68.6,1.02
68.8,0.96
69.0,0.72
69.2,1.02
69.4,0.84
69.6,1.2
69.8,0.66
70.0,1.08
70.2,0.72
70.4,0.72
70.6,0.9
70.8,0.72
71.0,1.08
71.2,0.6
71.4,1.02
71.6,0.36
71.8,0.96
72.0,0.96
72.2,1.02
72.4,0.66
72.6,0.78
72.8,0.84
73.0,0.36
73.2,1.26
73.4,0.84
73.6,0.78
73.8,0.84
74.0,1.02
74.2,0.6
74.4,1.02
74.6,0.9
74.8,0.78
75.0,0.66
75.2,1.08
75.4,0.78
75.6,0.72
75.8,1.02
76.0,0.72
76.2,0.84
76.4,0.78
76.6,1.02
76.8,0.66
77.0,0.3
77.2,1.38
77.4,0.66
77.6,1.02
77.8,0.72
78.0,0.96
78.2,0.84
78.4,0.9
