Timestamp (s),Bandwidth (Mbps)
0,0
0.2,4.62
0.4,5.58
0.6,5.82
0.8,5.58
1.0,5.82
1.2,6.36
1.4,7.02
1.6,6.42
1.8,6.72
2.0,6.78
2.2,6.06
2.4,6.48
2.6,6.6
2.8,7.2
3.0,6.42
3.2,6.18
3.4,6.96
3.6,6.42
3.8,6.72
4.0,6.6
4.2,6.78
4.4,7.02
4.6,6.78
4.8,6.06
5.0,7.2
5.2,6.06
5.4,6.18
5.6,6.18
5.8,6.9
6.0,6.36
6.2,6.36
6.4,6.66
6.6,7.08
6.8,6.06
7.0,6.96
7.2,6.24
7.4,8.46
7.6,7.14
7.8,7.02
8.0,7.38
8.2,6.96
8.4,6.96
8.6,7.02
8.8,6.9
9.0,6.24
9.2,6.78
9.4,6.96
9.6,6.84
9.8,6.78
10.0,6.66
10.2,7.14
10.4,6.24
10.6,7.14
10.8,6.42
11.0,7.26
11.2,7.86
11.4,7.26
11.6,7.86
11.8,7.62
12.0,6.9
12.2,7.02
12.4,7.08
12.6,7.32
12.8,7.5
13.0,6.72
13.2,7.2
13.4,6.78
13.6,6.84
13.8,6.6
14.0,6.96
14.2,7.14
14.4,7.44
14.6,6.84
14.8,6.36
15.0,6.78
15.2,7.26
15.4,7.26
15.6,7.02
15.8,6.6
16.0,7.2
16.2,6.42
16.4,7.62
16.6,7.2
16.8,6.36
17.0,7.44
17.2,7.38
17.4,6.48
17.6,6.9
17.8,6.78
18.0,7.14
18.2,6.78
18.4,6.18
18.6,7.92
18.8,7.2
19.0,7.14
19.2,7.02
19.4,7.02
19.6,6.42
19.8,7.68
20.0,7.56
20.2,7.2
20.4,6.9
20.6,7.02
20.8,7.44
21.0,3.96
