Timestamp (s),Bandwidth (Mbps)
0,0
0.2,14.22
0.4,24.9
0.6,29.64
0.8,22.38
1.0,16.68
1.2,26.34
1.4,26.94
1.6,24.42
1.8,27.42
2.0,12.78
2.2,15.24
2.4,14.46
2.6,15.06
2.8,13.74
3.0,13.44
3.2,11.88
3.4,12.48
3.6,13.2
3.8,13.14
4.0,13.02
4.2,10.8
4.4,15.12
4.6,14.16
4.8,14.94
5.0,13.44
5.2,14.28
5.4,10.98
5.6,13.92
5.8,15.06
6.0,16.44
6.2,9.36
6.4,11.1
6.6,9.3
6.8,10.02
7.0,8.64
7.2,7.86
7.4,10.26
7.6,8.64
7.8,8.76
8.0,10.74
8.2,5.58
8.4,3.0
8.6,5.46
8.8,3.48
9.0,9.0
9.2,23.34
9.4,0.0
9.6,6.36
9.8,5.1
10.0,0.3
10.2,0.06
10.4,0.0
10.6,0.06
10.8,0.0
11.0,0.0
11.2,0.18
11.4,22.2
11.6,18.96
11.8,21.9
12.0,21.72
12.2,8.58
12.4,15.12
12.6,30.12
12.8,29.58
13.0,25.56
13.2,17.82
13.4,34.74
13.6,32.88
13.8,15.12
14.0,3.3
14.2,0.54
14.4,0.0
14.6,0.12
14.8,0.42
15.0,6.66
15.2,6.0
15.4,3.84
15.6,1.56
15.8,2.52
16.0,3.3
16.2,11.1
16.4,0.06
16.6,0.0
16.8,0.0
17.0,0.0
17.2,0.0
17.4,0.0
17.6,0.0
17.8,0.0
18.0,12.72
18.2,11.64
18.4,0.66
18.6,1.74
18.8,1.02
19.0,2.88
19.2,0.9
19.4,0.18
19.6,3.84
19.8,1.62
20.0,1.38
20.2,1.26
20.4,1.38
20.6,0.9
20.8,1.38
21.0,0.0
21.2,0.72
21.4,0.12
21.6,0.48
21.8,0.06
22.0,0.0
22.2,0.0
22.4,0.0
22.6,7.56
22.8,0.0
23.0,2.94
23.2,13.32
23.4,5.94
23.6,0.42
23.8,0.0
24.0,0.0
24.2,0.0
24.4,0.0
24.6,0.0
24.8,0.0
25.0,1.14
25.2,6.3
25.4,0.0
25.6,0.0
25.8,0.0
26.0,0.0
26.2,0.0
26.4,5.1
26.6,1.2
26.8,5.1
27.0,0.0
27.2,0.0
27.4,0.0
27.6,0.0
27.8,5.1
28.0,4.74
28.2,0.0
28.4,0.0
28.6,0.0
28.8,0.78
29.0,2.1
29.2,1.26
29.4,0.84
29.6,0.0
29.8,0.0
30.0,0.0
30.2,0.0
30.4,0.0
30.6,0.0
30.8,3.18
31.0,0.0
31.2,0.0
31.4,0.0
31.6,0.0
31.8,2.1
32.0,0.0
32.2,0.0
32.4,0.0
32.6,0.0
32.8,0.24
33.0,0.78
33.2,1.02
33.4,0.42
33.6,0.0
33.8,0.06
34.0,0.0
34.2,0.0
34.4,0.0
34.6,0.36
34.8,0.72
35.0,0.36
35.2,0.6
35.4,0.3
35.6,0.18
35.8,0.42
36.0,0.06
36.2,0.12
36.4,0.12
36.6,0.0
36.8,0.0
