Timestamp (s),Bandwidth (Mbps)
0,0
0.2,9.48
0.4,25.92
0.6,23.28
0.8,25.98
1.0,26.1
1.2,27.54
1.4,26.58
1.6,27.54
1.8,27.78
2.0,28.86
2.2,27.72
2.4,28.86
2.6,23.94
2.8,25.68
3.0,25.26
3.2,26.1
3.4,26.04
3.6,25.08
3.8,27.06
4.0,26.76
4.2,24.96
4.4,26.04
4.6,23.58
4.8,24.72
5.0,18.96
5.2,34.02
5.4,25.2
5.6,25.86
5.8,26.16
6.0,28.68
6.2,26.82
6.4,27.72
6.6,26.58
6.8,27.3
7.0,26.1
7.2,26.1
7.4,27.54
7.6,25.86
7.8,24.0
8.0,24.72
8.2,26.28
8.4,25.98
8.6,24.24
8.8,21.96
9.0,20.04
9.2,17.64
9.4,19.74
9.6,19.44
9.8,17.76
10.0,19.38
10.2,18.54
10.4,18.48
10.6,18.72
10.8,20.04
11.0,18.12
11.2,20.64
11.4,21.42
11.6,21.66
11.8,19.44
12.0,16.2
12.2,16.8
12.4,18.96
12.6,17.16
12.8,18.36
13.0,18.66
13.2,18.48
13.4,18.12
13.6,20.28
13.8,20.28
14.0,19.8
14.2,19.5
14.4,19.26
14.6,18.9
14.8,18.9
15.0,17.82
15.2,16.74
15.4,17.88
15.6,21.78
15.8,20.34
16.0,18.9
16.2,20.22
16.4,17.1
16.6,19.62
16.8,19.74
17.0,20.58
17.2,18.72
17.4,18.84
17.6,19.92
17.8,19.86
18.0,20.46
18.2,20.34
18.4,19.98
18.6,19.02
18.8,19.86
19.0,16.98
19.2,19.86
19.4,19.86
19.6,19.98
19.8,19.98
20.0,18.84
20.2,19.8
20.4,18.48
20.6,19.08
20.8,20.82
21.0,20.34
21.2,18.54
21.4,18.06
21.6,20.46
21.8,17.52
22.0,19.98
22.2,18.0
22.4,17.76
22.6,16.8
22.8,18.12
23.0,17.7
23.2,18.66
23.4,17.88
23.6,19.86
23.8,19.68
24.0,20.82
24.2,20.22
24.4,19.44
24.6,20.82
24.8,21.36
25.0,20.22
25.2,20.4
25.4,19.08
25.6,19.32
25.8,20.34
26.0,19.32
26.2,17.88
26.4,19.08
26.6,19.26
26.8,18.72
27.0,18.3
27.2,18.96
27.4,18.0
27.6,20.04
27.8,20.46
28.0,19.5
28.2,18.48
28.4,21.12
28.6,19.62
28.8,20.4
29.0,21.42
29.2,21.6
29.4,20.28
29.6,19.98
29.8,18.54
30.0,17.76
30.2,19.86
30.4,18.84
30.6,16.8
30.8,17.04
31.0,17.16
31.2,20.7
31.4,19.32
31.6,19.08
31.8,20.58
32.0,19.08
32.2,19.38
32.4,21.42
32.6,20.34
32.8,20.4
33.0,19.92
33.2,21.0
33.4,20.1
33.6,20.64
33.8,19.26
34.0,20.58
34.2,22.02
34.4,20.94
34.6,20.94
34.8,21.3
35.0,20.46
35.2,20.1
35.4,21.6
35.6,21.36
35.8,21.06
36.0,21.48
36.2,21.72
36.4,21.66
36.6,19.26
36.8,19.2
37.0,19.26
37.2,20.88
37.4,19.38
37.6,19.98
37.8,21.36
38.0,23.22
38.2,23.76
38.4,26.04
38.6,24.9
38.8,20.64
39.0,18.0
39.2,21.42
39.4,18.36
39.6,19.08
39.8,17.58
40.0,21.18
40.2,20.76
40.4,19.2
40.6,20.28
40.8,21.12
41.0,18.54
41.2,19.92
41.4,19.08
41.6,18.84
41.8,18.42
42.0,18.9
42.2,21.54
42.4,24.18
42.6,24.24
42.8,21.3
43.0,21.18
43.2,21.3
43.4,21.84
43.6,20.58
43.8,19.26
44.0,18.9
44.2,19.08
44.4,20.46
44.6,19.02
44.8,20.46
45.0,19.32
45.2,19.38
45.4,19.62
45.6,20.64
45.8,20.7
46.0,20.16
46.2,18.36
46.4,18.3
46.6,18.24
46.8,19.02
47.0,18.66
47.2,18.72
47.4,20.22
47.6,20.16
47.8,18.72
48.0,19.92
48.2,19.8
48.4,21.24
48.6,21.12
48.8,22.92
49.0,19.98
49.2,23.16
49.4,19.44
49.6,18.9
49.8,20.88
50.0,18.84
50.2,20.76
50.4,20.16
50.6,21.0
50.8,17.52
51.0,21.06
51.2,17.94
51.4,20.34
51.6,22.5
51.8,21.78
52.0,20.28
52.2,18.72
52.4,19.44
52.6,19.14
52.8,19.74
53.0,20.58
53.2,19.62
53.4,19.02
53.6,18.78
53.8,16.56
54.0,17.4
54.2,16.92
54.4,17.76
54.6,15.36
54.8,18.12
55.0,16.92
55.2,16.2
55.4,15.12
55.6,15.3
55.8,16.32
56.0,15.18
56.2,15.06
56.4,17.88
56.6,20.82
56.8,21.96
57.0,22.86
57.2,20.76
57.4,20.7
57.6,21.78
57.8,22.62
58.0,20.34
58.2,21.42
58.4,21.54
58.6,23.28
58.8,22.86
59.0,23.94
59.2,20.64
59.4,21.54
59.6,19.86
59.8,19.68
60.0,21.66
60.2,19.62
