Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.06
0.4,0.06
0.6,0.18
0.8,0.18
1.0,0.36
1.2,0.3
1.4,0.48
1.6,0.48
1.8,0.24
2.0,0.3
2.2,0.18
2.4,0.24
2.6,0.24
2.8,0.0
3.0,0.3
3.2,0.24
3.4,0.24
3.6,0.12
3.8,0.24
4.0,0.42
4.2,0.18
4.4,0.3
4.6,0.18
4.8,0.12
5.0,0.48
5.2,0.3
5.4,0.54
5.6,0.12
5.8,0.36
6.0,0.18
6.2,0.36
6.4,0.36
6.6,0.36
6.8,0.3
7.0,1.44
7.2,1.02
7.4,0.54
7.6,0.24
7.8,0.36
8.0,0.72
8.2,0.24
8.4,0.3
8.6,0.12
8.8,0.18
9.0,0.0
9.2,0.0
9.4,0.0
9.6,0.0
9.8,0.06
10.0,0.12
10.2,0.12
10.4,0.0
10.6,0.0
10.8,0.0
11.0,0.0
11.2,0.0
11.4,0.18
11.6,0.6
11.8,0.18
12.0,0.18
12.2,0.12
12.4,0.78
12.6,1.02
12.8,0.42
13.0,0.54
13.2,0.06
13.4,0.48
13.6,2.76
13.8,4.26
14.0,4.02
14.2,2.94
14.4,2.82
14.6,1.38
14.8,1.74
15.0,1.8
15.2,1.86
15.4,1.2
15.6,0.6
15.8,1.2
16.0,0.12
16.2,0.06
16.4,0.0
16.6,0.42
16.8,0.84
17.0,1.44
17.2,1.14
17.4,0.0
17.6,0.0
17.8,0.0
18.0,0.0
18.2,0.0
18.4,0.18
18.6,0.0
18.8,0.78
19.0,0.6
19.2,0.66
19.4,0.54
19.6,0.48
19.8,0.0
20.0,0.0
20.2,0.0
20.4,0.0
20.6,0.12
20.8,0.0
21.0,0.0
21.2,2.94
21.4,1.08
21.6,1.74
21.8,2.34
22.0,2.22
22.2,0.54
22.4,0.24
22.6,0.66
22.8,0.84
23.0,0.96
23.2,0.24
23.4,0.3
23.6,0.36
23.8,0.3
24.0,0.54
24.2,0.24
24.4,0.84
24.6,1.38
24.8,1.14
25.0,0.9
25.2,0.84
25.4,0.9
25.6,0.42
25.8,0.54
26.0,0.3
26.2,0.54
26.4,0.54
26.6,0.66
26.8,1.14
27.0,1.38
27.2,1.32
27.4,0.84
27.6,0.78
27.8,0.36
28.0,0.54
28.2,1.56
28.4,1.8
28.6,0.84
28.8,0.54
29.0,0.48
29.2,0.12
29.4,0.72
29.6,0.84
29.8,1.02
30.0,0.66
30.2,0.54
30.4,0.9
30.6,0.54
30.8,0.54
31.0,0.84
31.2,0.84
31.4,0.3
31.6,0.48
31.8,0.96
32.0,1.02
32.2,1.08
32.4,0.84
32.6,1.08
32.8,0.42
33.0,0.6
33.2,0.72
33.4,0.84
33.6,0.72
33.8,0.96
34.0,0.72
34.2,0.72
34.4,0.84
34.6,1.14
34.8,0.48
35.0,0.6
35.2,0.36
35.4,0.42
35.6,0.24
35.8,0.0
36.0,0.0
36.2,0.0
36.4,0.06
36.6,0.12
36.8,0.36
37.0,0.48
37.2,0.42
37.4,0.12
37.6,0.18
37.8,0.0
38.0,0.06
38.2,0.72
38.4,0.66
38.6,0.84
38.8,0.9
39.0,0.78
39.2,1.08
39.4,1.44
39.6,1.26
39.8,1.02
40.0,0.72
40.2,1.08
40.4,0.78
40.6,1.2
40.8,0.96
41.0,0.66
41.2,0.84
41.4,0.84
41.6,0.72
41.8,0.54
42.0,0.3
42.2,0.42
42.4,0.06
42.6,0.6
42.8,0.18
43.0,0.3
43.2,0.3
43.4,0.3
43.6,0.06
43.8,0.3
44.0,0.06
44.2,0.24
44.4,0.0
44.6,0.12
44.8,0.12
45.0,0.42
45.2,0.9
45.4,0.24
45.6,0.9
45.8,1.2
46.0,0.72
46.2,1.14
46.4,0.72
46.6,0.48
46.8,0.42
47.0,0.72
47.2,0.24
47.4,0.36
47.6,0.12
47.8,0.12
48.0,0.36
48.2,0.66
48.4,0.48
48.6,0.48
48.8,0.54
49.0,0.72
49.2,0.96
49.4,0.78
49.6,0.42
49.8,0.18
50.0,0.36
50.2,0.6
50.4,0.6
50.6,0.36
50.8,0.66
51.0,0.96
51.2,1.32
51.4,0.54
51.6,0.24
51.8,0.72
52.0,1.62
52.2,1.5
52.4,0.72
52.6,1.08
52.8,0.6
53.0,0.18
53.2,0.24
53.4,0.6
53.6,0.48
53.8,0.42
54.0,0.72
54.2,0.24
54.4,0.66
54.6,0.72
54.8,0.9
55.0,0.42
55.2,0.84
55.4,0.72
55.6,0.72
55.8,0.48
56.0,0.06
56.2,0.72
56.4,0.78
56.6,0.96
56.8,1.44
57.0,0.66
57.2,0.84
57.4,0.84
57.6,0.78
57.8,1.14
58.0,1.2
58.2,1.02
58.4,1.2
58.6,2.4
58.8,1.38
59.0,0.24
59.2,1.74
59.4,3.36
59.6,2.94
59.8,3.96
60.0,2.46
60.2,2.7
60.4,1.56
60.6,2.22
60.8,2.22
61.0,3.72
61.2,4.02
61.4,3.66
61.6,3.66
61.8,2.4
62.0,3.0
62.2,0.84
62.4,1.8
62.6,2.52
62.8,1.44
63.0,1.68
63.2,0.9
63.4,0.36
63.6,0.36
63.8,0.84
64.0,1.68
64.2,1.2
64.4,0.42
64.6,0.78
64.8,1.26
65.0,0.66
65.2,0.42
65.4,2.22
65.6,1.26
65.8,1.32
66.0,1.38
66.2,1.2
66.4,2.46
66.6,0.18
66.8,2.22
67.0,2.94
67.2,2.82
67.4,3.0
67.6,3.96
67.8,3.42
68.0,4.56
68.2,3.96
68.4,3.84
68.6,3.6
68.8,3.42
69.0,4.2
69.2,2.82
69.4,2.88
69.6,3.96
69.8,2.46
70.0,4.56
70.2,3.78
70.4,4.26
70.6,3.48
70.8,4.08
71.0,4.56
71.2,4.02
71.4,4.2
71.6,4.26
71.8,4.56
72.0,3.54
72.2,3.96
72.4,3.36
72.6,1.74
72.8,2.16
73.0,1.44
73.2,2.1
73.4,3.0
73.6,1.86
73.8,1.62
74.0,2.52
74.2,2.22
74.4,2.82
74.6,1.56
74.8,2.28
75.0,1.92
75.2,1.98
75.4,2.52
75.6,2.46
75.8,2.04
76.0,1.38
76.2,1.2
76.4,0.96
76.6,0.6
76.8,0.36
77.0,0.3
77.2,0.24
77.4,0.06
77.6,0.18
77.8,0.24
78.0,0.72
78.2,2.46
78.4,3.36
78.6,3.48
78.8,4.08
79.0,3.24
79.2,3.18
79.4,2.16
79.6,1.32
79.8,1.2
80.0,0.54
80.2,0.18
80.4,0.0
80.6,0.42
80.8,2.82
81.0,2.52
81.2,2.04
81.4,0.84
81.6,0.06
81.8,0.06
82.0,0.3
82.2,1.02
82.4,0.84
82.6,1.02
82.8,0.84
83.0,0.78
83.2,0.84
83.4,1.14
83.6,0.36
83.8,0.42
84.0,1.32
84.2,0.78
84.4,0.66
84.6,0.06
84.8,0.36
85.0,0.06
85.2,0.0
85.4,0.12
85.6,0.54
85.8,1.32
86.0,0.78
86.2,0.96
86.4,2.94
86.6,5.28
86.8,3.66
87.0,3.24
87.2,3.24
87.4,0.66
87.6,0.42
87.8,0.42
88.0,1.08
88.2,0.96
88.4,1.56
88.6,2.58
88.8,1.74
89.0,1.92
89.2,2.22
89.4,3.36
89.6,2.64
89.8,1.8
90.0,1.5
90.2,1.02
90.4,1.14
90.6,0.84
90.8,1.2
91.0,2.34
91.2,4.38
91.4,4.5
91.6,5.46
91.8,5.28
92.0,5.46
92.2,5.1
92.4,4.38
92.6,4.26
92.8,5.28
93.0,6.12
93.2,3.72
93.4,6.6
93.6,5.4
93.8,5.4
94.0,4.8
94.2,4.5
94.4,4.14
94.6,4.32
94.8,4.26
95.0,4.74
95.2,3.36
95.4,2.58
95.6,2.58
95.8,1.08
96.0,2.04
96.2,4.26
96.4,3.96
96.6,3.9
96.8,2.64
97.0,4.62
97.2,5.34
97.4,3.84
97.6,4.62
97.8,4.08
98.0,3.9
98.2,3.18
98.4,3.72
98.6,3.18
98.8,3.84
99.0,2.28
99.2,4.02
99.4,3.6
99.6,4.26
99.8,3.54
100.0,3.36
100.2,3.72
100.4,3.48
100.6,1.56
100.8,2.64
101.0,4.02
101.2,3.06
101.4,1.32
101.6,1.14
101.8,2.1
102.0,2.94
102.2,2.34
102.4,0.96
102.6,0.42
102.8,0.36
103.0,0.42
103.2,0.36
103.4,0.18
103.6,0.0
103.8,0.0
104.0,0.06
104.2,0.0
104.4,0.0
104.6,0.0
104.8,0.06
105.0,0.0
105.2,0.06
105.4,0.18
105.6,0.18
105.8,0.3
106.0,0.72
106.2,1.02
106.4,0.36
106.6,0.9
106.8,0.84
107.0,0.66
107.2,1.5
107.4,1.98
107.6,1.8
107.8,2.58
108.0,1.8
108.2,2.16
108.4,1.92
108.6,1.08
108.8,0.42
109.0,0.24
109.2,0.3
109.4,0.12
109.6,0.06
109.8,0.18
110.0,0.0
110.2,0.0
110.4,0.06
110.6,0.0
110.8,0.0
111.0,0.0
111.2,0.0
111.4,0.12
111.6,0.24
111.8,0.66
112.0,2.28
112.2,3.78
112.4,2.64
112.6,5.04
112.8,4.98
113.0,5.4
113.2,4.74
113.4,5.7
113.6,4.8
113.8,4.86
114.0,4.56
114.2,4.8
114.4,3.36
114.6,4.08
114.8,3.66
115.0,3.12
115.2,4.38
115.4,3.42
115.6,5.28
115.8,3.78
116.0,4.74
116.2,5.04
116.4,3.48
116.6,4.68
116.8,4.26
117.0,3.84
117.2,2.58
117.4,2.94
117.6,3.6
117.8,4.38
118.0,3.6
118.2,3.72
118.4,4.44
118.6,4.92
118.8,5.16
119.0,4.26
119.2,5.04
119.4,4.98
119.6,4.56
119.8,5.7
120.0,4.86
120.2,4.98
120.4,5.82
120.6,5.58
120.8,5.64
121.0,6.06
121.2,5.04
121.4,5.16
121.6,4.08
121.8,4.38
122.0,4.5
122.2,5.16
122.4,4.92
122.6,6.3
122.8,4.74
123.0,5.82
123.2,6.0
123.4,5.7
123.6,5.58
123.8,5.94
124.0,6.0
124.2,5.34
124.4,6.6
124.6,5.76
124.8,5.94
125.0,4.62
125.2,5.4
125.4,5.7
125.6,6.42
125.8,5.7
126.0,3.9
126.2,5.04
126.4,3.9
126.6,4.38
126.8,6.18
127.0,4.74
127.2,4.86
127.4,4.62
127.6,4.98
127.8,5.1
128.0,5.58
128.2,5.58
128.4,4.98
128.6,6.0
128.8,5.28
129.0,5.7
129.2,5.52
129.4,5.64
129.6,4.5
129.8,3.42
130.0,1.56
130.2,1.56
130.4,1.5
130.6,0.06
130.8,1.38
131.0,1.38
131.2,1.56
131.4,1.5
131.6,2.94
131.8,1.92
