Timestamp (s),Bandwidth (Mbps)
0,0
0.2,3.36
0.4,4.74
0.6,5.34
0.8,6.48
1.0,5.7
1.2,5.16
1.4,4.62
1.6,4.2
1.8,5.1
2.0,5.22
2.2,4.26
2.4,4.26
2.6,6.48
2.8,5.16
3.0,4.98
3.2,4.74
3.4,4.08
3.6,5.64
3.8,4.74
4.0,4.74
4.2,5.58
4.4,4.8
4.6,4.92
4.8,5.28
5.0,5.16
5.2,5.58
5.4,5.28
5.6,5.88
5.8,4.74
6.0,5.1
6.2,5.46
6.4,5.52
6.6,5.22
6.8,4.98
7.0,4.62
7.2,4.2
7.4,5.4
7.6,4.8
7.8,4.8
8.0,4.62
8.2,5.1
8.4,5.58
8.6,5.34
8.8,6.06
9.0,4.98
9.2,5.22
9.4,5.16
9.6,5.28
9.8,4.62
10.0,4.92
10.2,5.16
10.4,4.98
10.6,5.22
10.8,5.04
11.0,5.52
11.2,4.74
11.4,5.28
11.6,4.68
11.8,4.56
12.0,5.16
12.2,4.92
12.4,5.28
12.6,5.16
12.8,5.64
13.0,4.68
13.2,4.74
13.4,5.1
13.6,4.56
13.8,4.74
14.0,5.16
14.2,5.22
14.4,4.92
14.6,5.28
14.8,5.34
15.0,4.68
15.2,4.8
15.4,5.1
15.6,4.92
15.8,4.56
16.0,5.46
16.2,4.56
16.4,4.62
16.6,5.04
16.8,5.1
17.0,5.4
17.2,4.56
17.4,4.92
17.6,4.92
17.8,4.68
18.0,5.04
18.2,5.22
18.4,4.38
18.6,4.62
18.8,5.22
19.0,5.28
19.2,4.8
19.4,4.26
19.6,5.04
19.8,4.68
20.0,5.04
20.2,4.74
20.4,5.04
20.6,4.74
20.8,4.8
21.0,5.28
21.2,4.5
21.4,5.04
21.6,4.5
21.8,5.04
22.0,4.8
22.2,4.8
22.4,4.62
22.6,5.4
22.8,4.74
23.0,4.14
23.2,4.26
23.4,4.74
23.6,4.14
23.8,4.44
24.0,4.68
24.2,5.1
24.4,4.8
24.6,4.32
24.8,4.32
25.0,4.92
25.2,5.22
25.4,5.88
25.6,4.98
25.8,5.58
26.0,6.18
26.2,7.62
26.4,8.4
26.6,6.48
26.8,5.7
27.0,5.82
27.2,6.36
27.4,6.3
27.6,7.08
27.8,7.14
28.0,6.72
28.2,5.76
28.4,7.2
28.6,6.9
28.8,5.28
29.0,4.2
29.2,5.1
29.4,5.52
29.6,7.08
29.8,6.6
30.0,8.04
30.2,8.1
30.4,7.56
30.6,7.62
30.8,7.26
31.0,6.66
31.2,7.5
31.4,4.26
31.6,8.52
31.8,7.02
32.0,7.8
32.2,7.44
32.4,6.6
32.6,8.58
32.8,7.68
33.0,7.2
33.2,8.1
33.4,7.32
33.6,7.14
33.8,4.86
34.0,7.56
34.2,6.06
34.4,7.62
34.6,8.28
34.8,8.34
35.0,7.68
35.2,7.02
35.4,7.86
35.6,7.74
35.8,6.96
36.0,7.8
36.2,7.2
36.4,7.44
36.6,8.22
36.8,8.16
37.0,7.92
37.2,8.4
37.4,8.28
37.6,7.32
37.8,6.36
38.0,7.38
38.2,7.98
38.4,7.02
38.6,7.92
38.8,8.52
39.0,7.74
39.2,7.2
39.4,7.44
39.6,5.22
39.8,4.8
40.0,0.06
