Timestamp (s),Bandwidth (Mbps)
0,0
0.2,1.2
0.4,0.96
0.6,1.2
0.8,1.2
1.0,2.04
1.2,1.8
1.4,2.04
1.6,2.22
1.8,2.94
2.0,1.74
2.2,1.38
2.4,1.56
2.6,1.32
2.8,1.14
3.0,1.5
3.2,0.9
3.4,1.02
3.6,1.68
3.8,1.68
4.0,1.68
4.2,1.26
4.4,1.5
4.6,1.8
4.8,2.16
5.0,1.02
5.2,1.2
5.4,1.8
5.6,1.14
5.8,1.32
6.0,1.2
6.2,1.86
6.4,1.62
6.6,1.86
6.8,1.5
7.0,1.38
7.2,1.02
7.4,1.5
7.6,1.74
7.8,1.32
8.0,1.2
8.2,1.56
8.4,1.68
8.6,1.8
8.8,1.56
9.0,1.14
9.2,1.44
9.4,1.8
9.6,1.62
9.8,1.38
10.0,0.84
10.2,1.68
10.4,1.2
10.6,1.68
10.8,1.44
11.0,1.5
11.2,1.02
11.4,1.68
11.6,2.04
11.8,1.62
12.0,1.56
12.2,1.68
12.4,1.38
12.6,1.32
12.8,1.02
13.0,1.44
13.2,1.2
13.4,1.2
13.6,1.32
13.8,1.38
14.0,1.14
14.2,1.2
14.4,1.68
14.6,1.86
14.8,1.86
15.0,1.98
15.2,1.08
15.4,1.2
15.6,0.96
15.8,1.32
16.0,1.68
16.2,1.14
16.4,1.14
16.6,1.02
16.8,0.84
17.0,1.14
17.2,1.02
17.4,1.08
17.6,0.84
17.8,0.54
18.0,0.54
18.2,0.6
18.4,0.48
18.6,0.3
18.8,0.6
19.0,0.3
19.2,0.3
19.4,0.0
19.6,0.0
19.8,0.0
20.0,0.0
20.2,0.06
20.4,0.0
20.6,0.0
20.8,0.0
21.0,0.0
21.2,0.0
21.4,0.0
21.6,0.0
21.8,0.06
22.0,0.0
22.2,0.0
22.4,0.0
22.6,0.0
22.8,0.0
23.0,0.0
23.2,0.06
