Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.42
0.4,2.64
0.6,2.7
0.8,3.24
1.0,17.64
1.2,14.22
1.4,9.72
1.6,14.16
1.8,11.04
2.0,10.08
2.2,9.9
2.4,13.62
2.6,12.12
2.8,4.92
3.0,0.72
3.2,0.36
3.4,0.18
3.6,0.06
3.8,1.44
4.0,3.18
4.2,12.72
4.4,3.9
4.6,5.4
4.8,6.42
5.0,6.42
5.2,7.56
5.4,4.08
5.6,2.22
5.8,1.38
6.0,4.32
6.2,18.36
6.4,21.18
6.6,21.18
6.8,4.98
7.0,11.22
7.2,27.24
7.4,15.18
7.6,13.02
7.8,13.68
8.0,21.24
8.2,13.26
8.4,16.02
8.6,15.84
8.8,15.96
9.0,23.76
9.2,26.82
9.4,10.68
9.6,13.92
9.8,19.14
10.0,12.42
10.2,6.3
10.4,7.14
10.6,9.18
10.8,8.7
11.0,3.48
11.2,2.46
11.4,0.78
11.6,0.78
11.8,0.42
12.0,0.96
12.2,1.32
12.4,0.42
12.6,0.72
12.8,0.6
13.0,0.96
13.2,1.02
13.4,0.6
13.6,0.48
13.8,0.12
14.0,0.0
14.2,0.06
14.4,0.0
14.6,0.0
14.8,0.0
15.0,9.42
15.2,12.24
15.4,9.72
15.6,3.66
15.8,6.84
16.0,13.32
16.2,9.96
16.4,8.22
16.6,3.6
16.8,7.32
17.0,14.16
17.2,10.2
17.4,7.14
17.6,7.62
17.8,3.84
18.0,3.42
18.2,4.62
18.4,10.8
18.6,13.68
18.8,14.1
19.0,8.4
19.2,5.28
19.4,4.98
19.6,7.02
19.8,0.12
20.0,0.0
20.2,0.0
20.4,0.0
20.6,0.0
20.8,0.0
21.0,0.0
21.2,0.0
21.4,0.0
21.6,0.0
21.8,6.0
22.0,21.18
22.2,22.56
22.4,1.32
22.6,2.7
22.8,8.64
23.0,7.74
23.2,4.74
23.4,3.78
23.6,6.06
23.8,4.5
24.0,18.24
24.2,29.46
24.4,32.7
24.6,31.44
24.8,27.48
25.0,26.22
25.2,23.94
25.4,19.74
25.6,17.28
25.8,14.34
