Timestamp (s),Bandwidth (Mbps)
0,0
0.2,2.64
0.4,4.98
0.6,1.26
0.8,1.32
1.0,4.14
1.2,1.92
1.4,3.78
1.6,7.56
1.8,10.14
2.0,5.76
2.2,2.7
2.4,1.32
2.6,0.6
2.8,0.6
3.0,0.72
3.2,0.66
3.4,0.54
3.6,0.36
3.8,0.18
4.0,0.72
4.2,0.6
4.4,1.14
4.6,0.72
4.8,0.48
5.0,0.18
5.2,0.12
5.4,0.06
5.6,0.06
5.8,0.0
6.0,0.0
6.2,0.0
6.4,0.0
6.6,0.06
6.8,0.0
7.0,0.0
7.2,0.0
7.4,0.0
7.6,0.0
7.8,0.0
8.0,0.06
8.2,0.0
8.4,0.42
8.6,0.18
8.8,0.0
9.0,0.0
9.2,0.0
9.4,0.0
9.6,0.0
9.8,0.0
10.0,0.0
10.2,0.0
10.4,0.0
10.6,0.06
10.8,0.0
11.0,0.06
11.2,0.12
11.4,0.12
11.6,0.12
11.8,0.06
12.0,0.18
12.2,0.72
12.4,1.26
12.6,3.54
12.8,5.04
13.0,3.72
13.2,2.34
13.4,3.24
13.6,2.82
13.8,1.74
14.0,0.72
14.2,0.12
14.4,0.06
14.6,0.06
14.8,0.0
15.0,0.0
15.2,0.0
15.4,0.06
15.6,0.0
15.8,0.0
16.0,0.0
16.2,0.0
16.4,0.0
16.6,0.0
16.8,0.0
17.0,0.06
17.2,0.0
17.4,0.0
17.6,0.06
17.8,0.48
18.0,3.0
18.2,4.14
18.4,1.74
18.6,0.18
18.8,0.12
19.0,0.0
19.2,0.0
19.4,0.06
19.6,0.0
19.8,0.0
20.0,0.0
20.2,0.0
20.4,0.0
20.6,0.0
20.8,0.0
21.0,0.0
21.2,0.0
21.4,0.0
21.6,0.0
21.8,0.0
22.0,0.0
22.2,0.0
22.4,0.0
22.6,0.0
22.8,0.06
23.0,0.0
23.2,0.0
23.4,0.0
23.6,0.0
23.8,0.0
24.0,0.0
24.2,0.0
24.4,0.0
24.6,0.0
24.8,0.0
25.0,0.0
25.2,0.06
25.4,0.0
25.6,0.0
25.8,0.0
26.0,0.06
26.2,0.0
26.4,0.06
26.6,0.0
26.8,0.0
27.0,0.0
27.2,0.0
27.4,0.0
27.6,0.0
27.8,0.0
28.0,0.0
28.2,0.0
28.4,0.0
28.6,0.0
28.8,0.0
29.0,0.06
29.2,0.0
29.4,0.24
29.6,1.08
29.8,1.44
30.0,0.36
30.2,0.12
30.4,0.12
30.6,0.12
30.8,0.0
31.0,0.72
31.2,1.2
31.4,0.0
31.6,0.0
31.8,0.0
32.0,0.0
32.2,0.12
32.4,0.12
32.6,0.06
32.8,0.0
33.0,0.06
33.2,0.0
33.4,0.0
33.6,0.06
33.8,0.0
34.0,0.0
34.2,0.0
34.4,0.0
34.6,0.0
34.8,0.0
35.0,0.0
35.2,0.0
35.4,0.0
35.6,1.56
35.8,1.26
36.0,1.14
36.2,0.48
36.4,0.12
36.6,0.06
36.8,0.0
37.0,0.0
37.2,0.0
37.4,0.0
37.6,0.06
37.8,0.12
38.0,0.0
38.2,0.12
38.4,0.06
38.6,0.0
38.8,0.06
39.0,0.12
39.2,0.9
39.4,3.06
39.6,4.44
39.8,4.5
40.0,4.2
40.2,5.1
40.4,1.08
40.6,2.16
40.8,2.88
41.0,4.92
41.2,10.26
41.4,13.86
41.6,5.82
41.8,11.4
42.0,22.08
42.2,13.68
42.4,9.78
42.6,13.74
42.8,11.22
43.0,15.0
43.2,29.16
43.4,26.46
43.6,16.44
43.8,6.84
44.0,7.68
44.2,4.08
44.4,1.44
44.6,1.98
44.8,1.32
45.0,0.54
45.2,0.6
