Timestamp (s),Bandwidth (Mbps)
0,0
0.2,6.36
0.4,6.54
0.6,7.14
0.8,8.22
1.0,5.4
1.2,7.26
1.4,7.32
1.6,6.84
1.8,6.9
2.0,7.08
2.2,7.86
2.4,6.96
2.6,7.38
2.8,6.3
3.0,7.26
3.2,7.02
3.4,7.02
3.6,6.96
3.8,6.0
4.0,6.42
4.2,6.66
4.4,6.3
4.6,6.18
4.8,7.68
5.0,7.32
5.2,6.0
5.4,7.14
5.6,7.92
5.8,8.04
6.0,7.08
6.2,6.18
6.4,5.52
6.6,6.18
6.8,6.66
7.0,6.66
7.2,6.36
7.4,6.06
7.6,5.46
7.8,6.96
8.0,5.7
8.2,6.06
8.4,6.48
8.6,5.7
8.8,7.14
9.0,6.24
9.2,6.18
9.4,6.3
9.6,6.96
9.8,6.48
10.0,5.76
10.2,7.08
10.4,6.78
10.6,6.54
10.8,5.58
11.0,7.74
11.2,6.06
11.4,6.42
11.6,7.26
11.8,7.2
12.0,7.62
12.2,6.78
12.4,7.08
12.6,6.84
12.8,7.2
13.0,6.84
13.2,6.48
13.4,6.12
13.6,6.6
13.8,5.88
14.0,5.52
14.2,5.94
14.4,5.94
14.6,6.96
14.8,6.6
15.0,6.54
15.2,6.48
15.4,7.14
15.6,7.26
15.8,6.06
16.0,6.12
16.2,7.2
16.4,6.24
16.6,7.26
16.8,7.32
17.0,5.04
17.2,6.66
17.4,6.06
17.6,5.88
17.8,6.72
18.0,6.3
18.2,6.9
18.4,5.82
18.6,6.06
18.8,6.78
19.0,7.5
19.2,6.18
19.4,6.72
19.6,6.48
19.8,6.78
20.0,7.26
20.2,6.78
20.4,7.08
20.6,7.44
20.8,6.6
21.0,6.9
21.2,6.36
21.4,7.14
21.6,5.7
21.8,6.12
22.0,6.84
22.2,6.12
22.4,6.0
22.6,7.62
22.8,6.72
23.0,6.36
23.2,7.44
23.4,6.84
23.6,7.56
23.8,6.54
24.0,6.12
24.2,7.86
24.4,6.48
24.6,6.24
24.8,6.42
25.0,7.32
25.2,7.5
25.4,6.72
25.6,6.66
25.8,6.84
26.0,7.32
26.2,6.54
26.4,6.66
26.6,6.48
26.8,6.12
27.0,6.42
27.2,7.14
27.4,6.18
27.6,6.48
27.8,6.78
28.0,5.52
28.2,6.06
28.4,6.42
28.6,5.28
28.8,5.52
29.0,6.48
29.2,6.3
29.4,5.7
29.6,5.88
29.8,6.3
30.0,6.9
30.2,6.18
30.4,6.18
30.6,5.64
30.8,5.04
31.0,6.36
31.2,7.32
31.4,7.02
31.6,6.78
31.8,6.54
32.0,7.5
32.2,6.6
32.4,6.42
32.6,6.36
32.8,6.48
33.0,6.48
33.2,8.04
33.4,6.18
33.6,6.36
33.8,6.06
34.0,5.64
34.2,7.08
34.4,6.18
34.6,6.78
34.8,5.4
35.0,6.0
35.2,5.76
35.4,6.0
35.6,5.52
35.8,4.32
36.0,4.92
36.2,4.44
36.4,6.42
36.6,5.28
36.8,3.36
37.0,1.62
37.2,4.98
37.4,4.26
37.6,6.18
37.8,6.0
38.0,6.24
38.2,6.9
38.4,7.44
38.6,4.86
38.8,7.98
39.0,6.78
39.2,6.3
39.4,7.2
39.6,7.38
39.8,6.54
40.0,7.14
40.2,6.36
40.4,2.82
40.6,1.56
40.8,3.48
41.0,8.16
41.2,5.16
41.4,6.42
41.6,5.76
41.8,5.64
42.0,6.42
42.2,5.82
42.4,5.82
42.6,6.18
42.8,5.94
43.0,5.88
43.2,6.78
43.4,6.12
43.6,6.42
43.8,5.28
44.0,5.88
44.2,6.54
44.4,5.76
44.6,5.28
44.8,4.98
45.0,7.08
45.2,6.84
45.4,5.4
45.6,5.28
45.8,4.92
46.0,7.38
46.2,5.46
46.4,5.52
46.6,5.7
46.8,5.28
47.0,6.12
47.2,5.64
47.4,5.82
47.6,6.06
47.8,6.72
48.0,5.52
48.2,5.34
48.4,5.34
48.6,4.68
48.8,6.12
49.0,6.0
49.2,6.48
49.4,6.84
49.6,5.4
49.8,5.64
50.0,6.0
50.2,4.62
50.4,6.24
50.6,6.12
50.8,5.82
51.0,7.2
51.2,6.96
51.4,6.36
51.6,6.06
51.8,5.7
52.0,6.3
52.2,5.64
52.4,6.42
52.6,7.44
52.8,6.18
53.0,6.48
53.2,6.0
53.4,5.52
53.6,5.52
53.8,6.84
54.0,6.54
54.2,6.24
54.4,6.06
54.6,6.84
54.8,6.9
55.0,6.9
55.2,4.32
55.4,3.78
55.6,7.2
55.8,6.6
56.0,7.26
56.2,7.2
56.4,7.26
56.6,7.44
56.8,7.14
57.0,6.42
57.2,7.5
57.4,7.26
57.6,5.4
57.8,6.06
58.0,6.6
58.2,6.66
58.4,5.7
58.6,5.88
58.8,6.66
59.0,6.72
59.2,4.56
59.4,6.0
59.6,5.82
59.8,3.42
