Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.06
0.4,0.18
0.6,0.42
0.8,0.48
1.0,0.72
1.2,1.02
1.4,0.72
1.6,0.66
1.8,0.66
2.0,0.42
2.2,0.18
2.4,0.0
2.6,0.0
2.8,0.06
3.0,0.06
3.2,0.0
3.4,0.18
3.6,0.3
3.8,0.36
4.0,0.24
4.2,0.96
4.4,0.36
4.6,0.3
4.8,0.24
5.0,0.6
5.2,0.24
5.4,0.36
5.6,0.24
5.8,0.36
6.0,0.48
6.2,0.36
6.4,0.3
6.6,0.36
6.8,0.54
7.0,0.24
7.2,0.24
7.4,0.24
7.6,0.72
7.8,0.48
8.0,0.6
8.2,0.48
8.4,0.9
8.6,0.78
8.8,0.6
9.0,0.72
9.2,0.42
9.4,0.54
9.6,0.3
9.8,0.42
10.0,0.42
10.2,0.3
10.4,0.48
10.6,0.54
10.8,0.42
11.0,0.42
11.2,0.54
11.4,0.54
11.6,0.36
11.8,0.48
12.0,0.48
12.2,0.6
12.4,0.72
12.6,0.24
12.8,0.36
13.0,0.54
13.2,0.48
13.4,0.9
13.6,0.6
13.8,0.6
14.0,0.42
14.2,0.78
14.4,0.6
14.6,0.54
14.8,0.66
15.0,0.48
15.2,0.72
15.4,0.48
15.6,0.42
15.8,0.66
16.0,0.12
16.2,0.54
16.4,0.24
16.6,0.24
16.8,0.66
17.0,0.3
17.2,0.66
17.4,0.42
17.6,0.48
17.8,0.42
18.0,0.42
18.2,0.42
18.4,0.3
18.6,0.66
18.8,0.12
19.0,0.54
19.2,0.24
19.4,0.84
19.6,0.84
19.8,0.3
20.0,0.36
20.2,0.24
20.4,0.6
20.6,0.48
20.8,0.66
21.0,0.3
21.2,0.36
21.4,0.48
21.6,0.66
21.8,0.36
22.0,0.3
22.2,0.72
22.4,0.54
22.6,0.84
22.8,0.36
23.0,0.48
23.2,0.54
23.4,0.6
23.6,0.6
23.8,0.24
24.0,0.78
24.2,0.42
24.4,0.36
24.6,0.78
24.8,0.48
25.0,0.48
25.2,0.48
25.4,0.78
25.6,0.3
25.8,0.9
26.0,0.06
