Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.9
0.4,1.26
0.6,2.76
0.8,3.3
1.0,7.2
1.2,8.4
1.4,10.68
1.6,2.58
1.8,15.48
2.0,32.16
2.2,27.36
2.4,26.22
2.6,13.02
2.8,24.6
3.0,30.96
3.2,25.38
3.4,24.54
3.6,22.5
3.8,21.72
4.0,28.38
4.2,23.94
4.4,24.18
4.6,25.98
4.8,25.32
5.0,23.22
5.2,24.06
5.4,24.12
5.6,26.64
5.8,25.08
6.0,24.48
6.2,23.82
6.4,24.6
6.6,29.7
6.8,31.02
7.0,29.46
7.2,24.9
7.4,26.16
7.6,24.06
7.8,24.0
8.0,21.78
8.2,27.72
8.4,23.28
8.6,26.64
8.8,24.54
9.0,22.86
9.2,22.5
9.4,23.4
9.6,25.5
9.8,24.3
10.0,24.72
10.2,24.48
10.4,24.3
10.6,23.7
10.8,21.6
11.0,24.24
11.2,25.86
11.4,24.96
11.6,26.22
11.8,25.02
12.0,25.68
12.2,24.12
12.4,26.52
12.6,24.0
12.8,25.56
13.0,24.42
13.2,24.36
13.4,24.6
13.6,24.54
13.8,23.94
14.0,22.56
14.2,23.7
14.4,25.44
14.6,22.62
14.8,22.62
15.0,24.24
15.2,23.76
15.4,23.46
15.6,22.14
15.8,25.62
16.0,27.24
16.2,26.46
16.4,25.08
16.6,23.34
16.8,23.22
17.0,24.36
17.2,24.72
17.4,25.86
17.6,21.48
17.8,25.8
18.0,26.1
18.2,22.44
18.4,23.58
18.6,22.62
18.8,25.68
19.0,23.04
19.2,25.26
19.4,26.04
19.6,25.68
19.8,25.14
20.0,23.4
20.2,24.48
20.4,23.64
20.6,20.64
20.8,25.56
21.0,26.1
21.2,24.0
21.4,23.76
21.6,24.54
21.8,23.76
22.0,24.42
22.2,25.14
22.4,26.82
22.6,25.74
22.8,24.54
23.0,24.6
23.2,26.16
23.4,25.98
23.6,25.98
23.8,26.88
24.0,24.72
24.2,27.06
24.4,24.3
24.6,25.68
24.8,24.54
25.0,22.5
25.2,25.44
25.4,25.14
25.6,26.34
25.8,23.34
26.0,21.9
26.2,23.28
26.4,24.06
26.6,24.36
26.8,25.26
27.0,22.92
27.2,26.4
27.4,25.38
27.6,22.98
27.8,24.66
28.0,28.98
28.2,23.22
28.4,27.42
28.6,25.5
28.8,27.24
29.0,23.64
29.2,29.58
29.4,25.38
29.6,25.86
29.8,27.0
30.0,25.68
30.2,22.98
30.4,26.28
30.6,24.72
30.8,26.82
31.0,22.98
31.2,26.58
31.4,22.5
31.6,24.54
31.8,23.22
32.0,30.12
32.2,25.8
32.4,23.64
32.6,24.24
32.8,21.48
