Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.9
0.4,2.22
0.6,5.04
0.8,6.18
1.0,5.16
1.2,2.64
1.4,4.56
1.6,4.32
1.8,3.66
2.0,3.96
2.2,1.5
2.4,2.94
2.6,3.96
2.8,5.28
3.0,6.96
3.2,7.2
3.4,7.32
3.6,9.54
3.8,3.9
4.0,7.56
4.2,4.5
4.4,5.7
4.6,6.72
4.8,7.62
5.0,7.62
5.2,7.44
5.4,2.88
5.6,6.24
5.8,6.48
6.0,6.36
6.2,0.96
6.4,6.18
6.6,7.32
6.8,3.06
7.0,4.92
7.2,1.62
7.4,6.9
7.6,6.96
7.8,7.92
8.0,6.9
8.2,8.4
8.4,5.94
8.6,6.72
8.8,6.96
9.0,4.32
9.2,0.78
9.4,5.04
9.6,5.22
9.8,4.98
10.0,3.18
10.2,2.76
10.4,6.24
10.6,5.76
10.8,7.5
11.0,6.24
11.2,5.34
11.4,1.92
11.6,2.52
11.8,4.98
12.0,7.8
12.2,7.8
12.4,1.08
12.6,4.74
12.8,6.12
13.0,6.84
13.2,5.64
13.4,5.58
13.6,6.36
13.8,3.6
14.0,7.26
14.2,7.26
14.4,6.66
14.6,5.4
14.8,6.3
15.0,6.96
15.2,5.94
15.4,5.46
15.6,5.52
15.8,4.74
16.0,4.08
16.2,4.92
16.4,3.54
16.6,3.66
16.8,4.68
17.0,4.98
17.2,5.34
17.4,4.56
17.6,4.26
17.8,4.92
18.0,8.52
18.2,5.4
18.4,6.12
18.6,6.24
18.8,4.56
19.0,5.76
19.2,6.48
19.4,6.48
19.6,5.04
19.8,5.52
20.0,3.12
