Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.12
0.4,1.08
0.6,1.5
0.8,1.68
1.0,1.86
1.2,1.92
1.4,2.88
1.6,3.6
1.8,2.7
2.0,1.14
2.2,1.5
2.4,1.14
2.6,2.34
2.8,3.0
3.0,2.94
3.2,2.1
3.4,1.08
3.6,4.02
3.8,4.08
4.0,3.18
4.2,3.42
4.4,2.52
4.6,3.42
4.8,2.1
5.0,1.08
5.2,0.0
5.4,0.12
5.6,0.84
5.8,0.48
6.0,0.48
6.2,1.02
6.4,0.54
6.6,0.36
6.8,0.48
7.0,0.24
7.2,0.54
7.4,0.42
7.6,0.3
7.8,0.18
8.0,0.36
8.2,0.3
8.4,0.18
8.6,0.12
8.8,0.24
9.0,0.24
9.2,0.0
9.4,0.0
9.6,0.0
9.8,0.0
10.0,0.36
10.2,0.12
10.4,5.22
10.6,2.76
10.8,1.44
11.0,4.26
11.2,4.98
11.4,3.12
11.6,2.34
11.8,2.76
12.0,2.4
12.2,2.76
12.4,2.52
12.6,3.48
12.8,7.02
13.0,7.02
13.2,6.96
13.4,6.72
13.6,4.68
13.8,3.9
14.0,3.24
14.2,3.72
14.4,2.64
14.6,2.7
14.8,4.44
15.0,4.02
15.2,3.48
15.4,3.0
15.6,3.24
15.8,4.32
16.0,3.54
16.2,4.26
16.4,2.52
16.6,4.56
16.8,7.32
17.0,6.24
17.2,5.88
17.4,4.44
17.6,5.22
17.8,3.42
18.0,4.92
18.2,6.42
18.4,4.8
18.6,3.54
18.8,4.38
19.0,5.4
19.2,5.58
19.4,2.76
19.6,3.72
19.8,4.62
20.0,4.38
20.2,6.3
20.4,6.48
20.6,4.92
20.8,6.0
21.0,7.92
21.2,7.56
21.4,6.66
21.6,6.0
21.8,5.22
22.0,4.56
22.2,5.46
22.4,4.92
22.6,6.3
22.8,4.38
23.0,6.18
23.2,5.46
23.4,3.0
23.6,6.0
23.8,3.3
24.0,4.86
24.2,4.14
24.4,3.06
24.6,2.7
24.8,2.82
25.0,2.82
25.2,2.88
25.4,4.74
25.6,3.42
25.8,3.54
26.0,3.3
26.2,4.02
26.4,3.06
26.6,2.4
26.8,0.66
27.0,0.0
27.2,2.1
27.4,2.82
27.6,4.86
27.8,5.46
28.0,6.96
28.2,3.9
28.4,4.32
28.6,2.76
28.8,4.5
29.0,4.74
29.2,6.12
29.4,7.26
29.6,7.02
29.8,5.4
30.0,5.04
30.2,7.02
30.4,3.84
30.6,3.06
30.8,3.78
31.0,5.22
31.2,2.16
31.4,1.8
31.6,0.6
31.8,1.92
32.0,1.56
32.2,3.96
32.4,4.74
32.6,3.24
32.8,4.08
33.0,2.28
33.2,2.76
33.4,0.78
33.6,1.26
33.8,2.58
34.0,2.4
34.2,3.72
34.4,2.64
34.6,2.76
34.8,2.52
35.0,2.58
35.2,1.62
35.4,1.68
35.6,2.7
35.8,2.28
36.0,1.56
36.2,1.08
36.4,1.26
36.6,3.06
36.8,3.0
37.0,1.68
37.2,2.16
37.4,4.44
37.6,3.06
37.8,3.3
38.0,3.42
38.2,4.92
38.4,2.4
38.6,2.52
38.8,2.46
39.0,1.5
39.2,2.58
39.4,3.36
39.6,2.64
39.8,2.46
40.0,4.38
40.2,2.88
40.4,1.86
40.6,2.82
40.8,1.98
41.0,0.0
41.2,0.96
41.4,0.9
41.6,0.3
41.8,0.0
42.0,1.02
42.2,4.26
42.4,3.12
42.6,2.58
42.8,1.08
43.0,0.66
43.2,1.14
43.4,0.6
43.6,0.12
43.8,0.66
44.0,0.72
44.2,0.6
44.4,0.72
44.6,1.62
44.8,0.84
45.0,0.9
45.2,0.24
45.4,0.96
45.6,0.6
45.8,1.68
46.0,0.96
46.2,1.38
46.4,0.84
46.6,0.54
46.8,2.04
47.0,1.32
47.2,1.32
47.4,0.0
47.6,0.0
47.8,0.0
48.0,0.0
48.2,0.0
48.4,0.0
48.6,0.0
48.8,0.0
49.0,0.0
49.2,3.06
49.4,12.18
49.6,7.08
49.8,10.74
50.0,10.14
50.2,9.78
50.4,3.54
50.6,3.78
50.8,6.9
51.0,4.8
51.2,12.96
51.4,7.2
51.6,11.16
51.8,9.36
52.0,11.22
52.2,7.2
52.4,8.58
52.6,0.0
52.8,0.0
53.0,0.06
53.2,0.0
53.4,0.0
53.6,0.24
53.8,0.0
54.0,0.06
54.2,0.0
54.4,0.06
54.6,0.06
54.8,0.06
55.0,0.12
55.2,0.0
55.4,0.3
55.6,0.06
55.8,0.18
56.0,0.18
56.2,0.06
56.4,0.12
56.6,0.06
56.8,0.3
57.0,0.24
57.2,0.3
57.4,0.6
57.6,0.48
57.8,0.9
58.0,0.72
58.2,0.66
58.4,0.9
58.6,0.18
58.8,0.06
59.0,0.48
59.2,0.96
59.4,0.6
59.6,0.42
59.8,0.0
60.0,0.96
60.2,0.24
60.4,0.06
60.6,0.12
60.8,0.42
61.0,0.06
61.2,0.12
61.4,0.0
61.6,0.0
61.8,0.0
62.0,0.0
62.2,0.0
62.4,0.0
62.6,0.0
62.8,0.0
63.0,0.06
63.2,0.0
63.4,0.0
63.6,0.0
63.8,0.0
64.0,0.0
64.2,0.06
64.4,9.3
64.6,2.1
64.8,12.48
65.0,11.58
65.2,12.96
65.4,12.24
65.6,11.22
65.8,12.96
66.0,14.28
66.2,15.66
66.4,17.1
66.6,15.24
66.8,16.8
67.0,15.48
67.2,13.32
67.4,14.58
67.6,14.28
67.8,13.8
68.0,15.66
68.2,14.7
68.4,11.88
68.6,13.62
68.8,16.14
69.0,11.34
69.2,14.58
69.4,14.58
69.6,16.2
69.8,15.18
70.0,13.8
70.2,13.8
