Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.84
0.4,1.08
0.6,1.2
0.8,1.32
1.0,0.96
1.2,1.38
1.4,1.38
1.6,1.62
1.8,1.68
2.0,1.38
2.2,1.44
2.4,1.44
2.6,1.26
2.8,1.56
3.0,0.84
3.2,1.26
3.4,1.2
3.6,1.5
3.8,1.2
4.0,1.32
4.2,1.26
4.4,1.44
4.6,1.2
4.8,0.96
5.0,1.14
5.2,1.14
5.4,1.14
5.6,1.14
5.8,1.02
6.0,1.26
6.2,1.2
6.4,0.96
6.6,1.26
6.8,1.38
7.0,1.2
7.2,1.02
7.4,1.26
7.6,1.26
7.8,1.2
8.0,1.2
8.2,1.5
8.4,0.84
8.6,1.08
8.8,1.08
9.0,0.9
9.2,1.26
9.4,1.38
9.6,1.5
9.8,1.38
10.0,1.08
10.2,1.56
10.4,1.38
10.6,1.08
10.8,1.08
11.0,1.32
11.2,1.2
11.4,1.26
11.6,1.14
11.8,1.2
12.0,1.2
12.2,1.2
12.4,1.44
12.6,0.96
12.8,1.32
13.0,1.14
13.2,1.56
13.4,1.26
13.6,1.32
13.8,1.26
14.0,1.44
14.2,1.32
14.4,1.26
14.6,1.5
14.8,1.08
15.0,1.14
15.2,1.14
15.4,0.96
15.6,1.2
15.8,1.38
16.0,1.2
16.2,1.32
16.4,1.2
16.6,0.96
16.8,1.08
17.0,1.26
17.2,1.02
17.4,1.32
17.6,1.32
17.8,1.14
18.0,1.32
18.2,1.14
18.4,1.26
18.6,1.56
18.8,1.02
19.0,1.38
19.2,0.78
19.4,1.08
19.6,1.56
19.8,1.26
20.0,1.02
20.2,1.14
20.4,1.08
20.6,1.44
20.8,1.32
21.0,1.38
21.2,1.2
21.4,1.26
21.6,1.2
21.8,1.68
22.0,1.56
22.2,1.38
22.4,1.5
22.6,1.32
22.8,1.02
23.0,0.96
23.2,1.32
23.4,1.26
23.6,1.08
23.8,1.08
24.0,1.02
24.2,1.14
24.4,0.84
24.6,1.38
24.8,1.38
25.0,1.2
25.2,1.5
25.4,0.9
