Timestamp (s),Bandwidth (Mbps)
0,0
0.2,1.08
0.4,1.8
0.6,0.6
0.8,0.84
1.0,1.26
1.2,1.08
1.4,1.44
1.6,1.62
1.8,2.04
2.0,1.02
2.2,1.56
2.4,1.8
2.6,2.22
2.8,1.62
3.0,4.8
3.2,2.88
3.4,3.42
3.6,4.74
3.8,5.64
4.0,5.52
4.2,5.04
4.4,5.22
4.6,6.72
4.8,4.56
5.0,6.06
5.2,6.12
5.4,5.82
5.6,6.0
5.8,2.82
6.0,2.64
6.2,2.94
6.4,3.24
6.6,2.04
6.8,3.96
7.0,3.18
7.2,4.44
7.4,6.3
7.6,4.56
7.8,4.26
8.0,5.34
8.2,5.88
8.4,4.56
8.6,4.68
8.8,6.12
9.0,6.3
9.2,7.14
9.4,6.66
9.6,6.48
9.8,3.9
10.0,5.04
10.2,5.82
10.4,7.32
10.6,8.1
10.8,7.74
11.0,9.84
11.2,8.64
11.4,5.94
11.6,6.12
11.8,7.56
12.0,9.18
12.2,8.16
12.4,7.8
12.6,9.9
12.8,9.72
13.0,8.28
13.2,8.64
13.4,9.12
13.6,9.24
13.8,9.12
14.0,10.2
14.2,10.86
14.4,11.04
14.6,10.32
14.8,8.88
15.0,10.98
15.2,10.2
15.4,10.5
15.6,9.0
15.8,9.42
16.0,10.14
16.2,10.86
16.4,10.08
16.6,10.86
16.8,9.12
17.0,10.32
17.2,9.9
17.4,9.9
17.6,9.42
17.8,9.18
18.0,7.08
18.2,7.32
18.4,3.54
