Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.48
0.4,1.92
0.6,1.26
0.8,2.04
1.0,3.12
1.2,3.9
1.4,3.72
1.6,2.88
1.8,4.08
2.0,0.48
2.2,1.26
2.4,2.46
2.6,0.54
2.8,2.52
3.0,1.2
3.2,2.58
3.4,2.46
3.6,4.2
3.8,2.34
4.0,0.78
4.2,1.5
4.4,1.62
4.6,1.32
4.8,1.92
5.0,4.02
5.2,1.26
5.4,1.56
5.6,0.66
5.8,0.9
6.0,1.2
6.2,1.56
6.4,0.84
6.6,0.9
6.8,0.84
7.0,0.66
7.2,0.84
7.4,1.08
7.6,1.08
7.8,0.66
8.0,1.14
8.2,2.04
8.4,3.3
8.6,2.28
8.8,6.24
9.0,5.7
9.2,3.66
9.4,2.58
9.6,0.3
9.8,1.2
10.0,0.24
10.2,1.08
10.4,0.54
10.6,0.72
10.8,0.48
11.0,1.32
11.2,1.74
11.4,1.68
11.6,4.92
11.8,3.0
12.0,2.22
12.2,1.14
12.4,2.4
12.6,4.14
12.8,0.78
13.0,0.78
13.2,1.32
13.4,1.02
13.6,0.9
13.8,0.3
14.0,0.0
14.2,0.36
14.4,0.0
14.6,0.0
14.8,0.18
