Timestamp (s),Bandwidth (Mbps)
0,0
0.2,4.38
0.4,9.9
0.6,9.3
0.8,9.18
1.0,9.18
1.2,9.18
1.4,9.9
1.6,9.3
1.8,9.96
2.0,10.2
2.2,8.94
2.4,10.26
2.6,9.54
2.8,10.26
3.0,10.38
3.2,10.86
3.4,10.38
3.6,10.14
3.8,10.2
4.0,10.32
4.2,10.62
4.4,10.62
4.6,10.5
4.8,10.5
5.0,11.1
5.2,9.24
5.4,9.3
5.6,9.12
5.8,9.48
6.0,10.5
6.2,10.08
6.4,10.74
6.6,9.0
6.8,9.48
7.0,10.62
7.2,10.44
7.4,10.56
7.6,10.56
7.8,9.9
8.0,9.78
8.2,10.32
8.4,10.02
8.6,10.8
8.8,10.08
9.0,10.32
9.2,10.86
9.4,9.3
9.6,8.16
9.8,9.18
10.0,10.92
10.2,10.56
10.4,10.02
10.6,9.84
10.8,7.8
11.0,7.62
11.2,7.62
11.4,7.2
11.6,10.98
11.8,10.98
12.0,10.62
12.2,10.98
12.4,10.5
12.6,10.98
12.8,10.92
13.0,11.76
13.2,11.82
13.4,11.46
13.6,11.46
13.8,9.9
14.0,10.14
14.2,11.1
14.4,10.38
14.6,10.08
14.8,11.04
15.0,11.16
15.2,11.16
15.4,3.24
