Timestamp (s),Bandwidth (Mbps)
0,0
0.2,6.18
0.4,7.02
0.6,5.76
0.8,9.12
1.0,9.18
1.2,11.94
1.4,13.08
1.6,11.16
1.8,13.86
2.0,11.58
2.2,12.24
2.4,15.42
2.6,17.52
2.8,11.58
3.0,10.8
3.2,10.92
3.4,10.02
3.6,9.06
3.8,10.38
4.0,14.34
4.2,14.58
4.4,10.74
4.6,10.5
4.8,9.66
5.0,10.2
5.2,10.14
5.4,9.36
5.6,11.82
5.8,15.12
6.0,12.96
6.2,13.32
6.4,14.16
6.6,13.8
6.8,12.84
7.0,14.88
7.2,16.5
7.4,14.94
7.6,12.36
7.8,15.72
8.0,11.82
8.2,10.2
8.4,9.18
8.6,9.96
8.8,8.64
9.0,8.52
9.2,8.88
9.4,9.66
9.6,10.44
9.8,10.44
10.0,14.22
10.2,12.9
10.4,9.66
10.6,11.76
10.8,14.28
11.0,16.2
11.2,14.1
11.4,10.68
11.6,11.04
11.8,14.22
12.0,17.4
12.2,16.2
12.4,0.12
