Timestamp (s),Bandwidth (Mbps)
0,0
0.2,12.6
0.4,40.5
0.6,49.62
0.8,49.74
1.0,26.7
1.2,22.86
1.4,22.68
1.6,23.7
1.8,21.96
2.0,22.98
2.2,21.12
2.4,22.62
2.6,23.76
2.8,22.56
3.0,21.06
3.2,17.7
3.4,23.76
3.6,8.58
3.8,8.4
4.0,34.62
4.2,26.76
4.4,23.16
4.6,23.46
4.8,23.82
5.0,19.44
5.2,24.18
5.4,21.84
5.6,23.82
5.8,23.4
6.0,23.82
6.2,22.62
6.4,16.2
6.6,24.9
6.8,21.06
7.0,20.22
7.2,19.62
7.4,20.64
7.6,21.0
7.8,23.22
8.0,19.26
8.2,11.94
8.4,27.3
8.6,15.42
8.8,24.48
9.0,22.38
9.2,23.4
9.4,16.02
9.6,1.38
9.8,21.54
10.0,33.6
10.2,19.86
10.4,22.86
10.6,23.64
10.8,23.64
11.0,23.52
11.2,23.64
11.4,23.16
11.6,23.1
11.8,22.92
12.0,23.7
12.2,22.8
12.4,23.58
12.6,23.58
12.8,15.24
13.0,25.08
13.2,23.52
13.4,23.58
13.6,20.28
13.8,24.6
14.0,23.76
14.2,23.58
14.4,23.28
14.6,22.44
14.8,22.98
15.0,23.52
15.2,23.58
15.4,23.16
15.6,23.22
15.8,22.74
16.0,21.42
16.2,22.68
16.4,23.46
16.6,22.32
16.8,22.5
17.0,23.64
17.2,0.12
