Timestamp (s),Bandwidth (Mbps)
0,0
0.2,17.4
0.4,37.38
0.6,40.56
0.8,37.68
1.0,18.6
1.2,46.08
1.4,4.08
1.6,34.14
1.8,21.54
2.0,23.88
2.2,21.96
2.4,23.4
2.6,24.0
2.8,22.56
3.0,20.16
3.2,19.8
3.4,20.7
3.6,21.54
3.8,18.06
4.0,14.28
4.2,26.58
4.4,19.32
4.6,24.0
4.8,20.7
5.0,13.86
5.2,9.48
5.4,33.0
5.6,24.0
5.8,24.0
6.0,21.06
6.2,23.64
6.4,20.88
6.6,24.0
6.8,23.94
7.0,22.98
7.2,20.46
7.4,8.22
7.6,31.62
7.8,1.74
8.0,29.46
8.2,23.64
8.4,8.82
8.6,28.92
8.8,10.98
9.0,30.3
9.2,16.2
9.4,26.58
9.6,20.82
9.8,1.56
10.0,19.68
10.2,25.02
10.4,0.0
10.6,9.96
10.8,35.58
11.0,12.84
11.2,14.82
11.4,32.4
11.6,4.74
11.8,24.0
12.0,6.66
12.2,15.06
12.4,9.48
12.6,21.24
12.8,14.4
13.0,30.66
13.2,18.78
13.4,17.7
13.6,35.34
13.8,36.9
14.0,8.58
14.2,12.72
14.4,32.04
14.6,14.82
14.8,23.04
15.0,23.22
15.2,10.68
15.4,0.18
15.6,23.22
15.8,7.98
16.0,23.7
16.2,8.4
16.4,26.16
16.6,25.68
16.8,13.2
17.0,25.56
17.2,11.22
17.4,18.48
17.6,11.1
17.8,12.54
18.0,22.98
18.2,4.08
18.4,15.78
18.6,22.92
18.8,6.3
19.0,14.46
19.2,23.52
19.4,13.44
19.6,9.96
19.8,7.74
20.0,10.32
20.2,7.62
20.4,4.26
20.6,11.82
20.8,0.0
21.0,7.2
21.2,2.58
21.4,8.7
21.6,16.38
21.8,14.04
22.0,12.36
22.2,10.2
22.4,1.26
22.6,15.54
22.8,10.56
23.0,18.84
23.2,15.9
23.4,5.34
23.6,0.0
23.8,12.9
24.0,14.88
24.2,23.1
24.4,13.86
24.6,2.04
24.8,15.36
25.0,15.6
25.2,9.6
25.4,12.06
25.6,13.98
25.8,15.6
26.0,18.78
26.2,7.38
26.4,2.82
26.6,1.62
26.8,13.68
27.0,13.8
27.2,7.62
27.4,11.94
27.6,15.48
27.8,8.64
28.0,14.82
28.2,9.66
28.4,14.22
28.6,7.62
28.8,14.04
29.0,9.78
29.2,22.08
29.4,3.06
29.6,15.12
29.8,17.16
30.0,19.62
30.2,14.52
30.4,12.54
30.6,10.68
30.8,7.2
31.0,3.36
31.2,18.72
31.4,5.28
31.6,1.08
31.8,18.42
32.0,15.78
32.2,18.24
32.4,10.74
32.6,9.0
32.8,11.64
33.0,6.72
33.2,11.46
33.4,16.02
33.6,2.22
33.8,13.92
34.0,23.58
34.2,12.3
34.4,24.48
34.6,16.62
34.8,25.5
35.0,5.64
35.2,14.7
35.4,5.76
35.6,18.48
35.8,10.26
36.0,16.62
36.2,11.94
36.4,14.7
36.6,17.16
36.8,6.48
37.0,13.56
37.2,17.58
37.4,4.8
