Timestamp (s),Bandwidth (Mbps)
0,0
0.2,3.84
0.4,14.58
0.6,4.56
0.8,4.02
1.0,3.72
1.2,4.8
1.4,4.08
1.6,3.96
1.8,4.44
2.0,3.9
2.2,4.44
2.4,3.9
2.6,3.84
2.8,4.14
3.0,4.38
3.2,3.84
3.4,2.04
3.6,5.7
3.8,4.62
4.0,3.66
4.2,4.38
4.4,3.9
4.6,4.32
4.8,3.12
5.0,4.08
5.2,3.84
5.4,4.62
5.6,4.62
5.8,1.74
6.0,6.6
6.2,3.9
6.4,4.26
6.6,3.84
6.8,4.44
7.0,4.08
7.2,3.96
7.4,4.26
7.6,3.66
7.8,3.96
8.0,4.26
8.2,4.02
8.4,3.96
8.6,3.78
8.8,3.9
9.0,3.84
9.2,4.08
9.4,4.08
9.6,3.72
9.8,3.48
10.0,4.08
10.2,4.32
10.4,3.96
10.6,3.9
10.8,3.0
11.0,2.34
11.2,4.02
11.4,6.42
11.6,3.9
11.8,4.26
12.0,3.96
12.2,3.48
12.4,3.9
12.6,4.62
12.8,2.88
13.0,4.92
13.2,3.9
13.4,3.9
13.6,4.26
13.8,1.74
14.0,6.66
14.2,4.32
14.4,4.2
14.6,3.78
14.8,4.5
15.0,4.14
15.2,4.08
15.4,4.26
15.6,4.08
15.8,2.64
16.0,5.1
16.2,3.66
16.4,5.28
16.6,4.14
16.8,4.2
17.0,4.2
17.2,3.48
17.4,4.5
17.6,4.26
17.8,4.32
18.0,4.08
18.2,2.7
18.4,4.98
18.6,3.54
18.8,5.16
19.0,3.96
19.2,4.56
19.4,3.9
19.6,4.02
19.8,3.9
20.0,4.32
20.2,4.08
20.4,4.02
20.6,4.2
20.8,4.02
21.0,4.26
21.2,3.66
21.4,4.44
21.6,4.2
21.8,3.84
22.0,4.44
22.2,4.02
22.4,4.14
22.6,4.2
22.8,3.96
23.0,4.32
23.2,4.08
23.4,4.26
23.6,3.6
23.8,4.56
24.0,1.92
24.2,4.92
24.4,4.38
24.6,4.38
24.8,4.08
25.0,4.08
25.2,4.2
25.4,3.6
25.6,3.24
25.8,4.8
26.0,4.26
26.2,3.9
26.4,4.32
26.6,4.26
26.8,4.38
27.0,4.26
27.2,3.78
27.4,4.38
27.6,4.14
27.8,4.08
28.0,4.08
28.2,4.08
28.4,4.14
28.6,3.9
28.8,4.32
29.0,4.08
29.2,4.14
29.4,4.2
29.6,2.64
29.8,5.7
30.0,4.26
30.2,2.28
30.4,5.94
30.6,2.58
30.8,4.62
31.0,5.28
31.2,3.96
31.4,3.66
31.6,3.84
31.8,5.16
32.0,3.96
32.2,4.2
32.4,3.48
32.6,4.8
32.8,3.9
33.0,4.62
33.2,3.3
33.4,4.86
33.6,4.02
33.8,4.2
34.0,3.72
34.2,4.14
34.4,4.14
34.6,4.62
34.8,4.08
35.0,4.2
35.2,4.2
35.4,3.6
35.6,4.68
35.8,3.72
36.0,4.56
36.2,4.2
36.4,4.08
36.6,3.72
36.8,4.74
37.0,3.96
37.2,4.2
37.4,4.08
37.6,4.26
37.8,4.38
38.0,4.08
38.2,4.08
38.4,3.9
38.6,4.2
38.8,4.44
39.0,3.9
39.2,4.26
39.4,4.32
39.6,4.08
39.8,4.2
40.0,4.2
40.2,3.6
40.4,2.58
40.6,0.0
40.8,10.26
41.0,4.02
41.2,4.32
41.4,3.66
41.6,4.74
41.8,4.08
42.0,4.26
42.2,2.7
42.4,5.7
42.6,3.66
42.8,4.5
43.0,4.2
43.2,4.14
43.4,4.14
43.6,4.26
43.8,4.08
44.0,4.26
44.2,3.3
44.4,4.02
44.6,4.98
44.8,3.12
45.0,5.16
45.2,2.22
45.4,6.18
45.6,3.6
45.8,4.74
46.0,3.66
46.2,3.78
46.4,5.04
46.6,3.54
46.8,3.72
47.0,4.2
47.2,5.04
47.4,3.84
47.6,3.72
47.8,4.86
48.0,4.2
48.2,3.9
48.4,4.32
48.6,4.2
48.8,4.26
49.0,4.02
49.2,3.96
49.4,4.08
49.6,4.14
49.8,4.2
50.0,3.96
50.2,4.44
50.4,4.02
50.6,3.78
50.8,4.26
51.0,4.08
51.2,3.66
51.4,4.38
51.6,4.02
51.8,3.9
52.0,3.72
52.2,1.62
