Timestamp (s),Bandwidth (Mbps)
0,0
0.2,4.5
0.4,5.04
0.6,5.22
0.8,5.04
1.0,5.16
1.2,5.1
1.4,5.22
1.6,5.04
1.8,5.04
2.0,5.1
2.2,5.04
2.4,5.04
2.6,5.04
2.8,5.04
3.0,5.1
3.2,5.1
3.4,5.04
3.6,5.1
3.8,5.04
4.0,5.1
4.2,5.1
4.4,5.16
4.6,5.04
4.8,5.1
5.0,5.22
5.2,5.04
5.4,5.16
5.6,5.1
5.8,5.16
6.0,5.1
6.2,5.04
6.4,4.98
6.6,5.16
6.8,5.04
7.0,5.1
7.2,5.04
7.4,5.04
7.6,5.04
7.8,5.16
8.0,5.16
8.2,5.04
8.4,5.04
8.6,5.1
8.8,5.04
9.0,5.16
9.2,5.1
9.4,5.16
9.6,5.1
9.8,5.04
10.0,5.34
10.2,5.1
10.4,5.1
10.6,5.1
10.8,5.94
11.0,5.1
11.2,5.1
11.4,5.04
11.6,5.1
11.8,5.04
12.0,5.04
12.2,5.04
12.4,5.1
12.6,5.04
12.8,5.1
13.0,5.22
13.2,5.1
13.4,5.1
13.6,5.04
13.8,5.04
14.0,5.04
14.2,5.04
14.4,5.1
14.6,5.04
14.8,5.04
15.0,5.22
15.2,5.1
15.4,5.16
15.6,5.04
15.8,5.04
16.0,5.22
16.2,5.04
16.4,5.04
16.6,5.1
16.8,5.04
17.0,5.04
17.2,5.16
17.4,5.04
17.6,5.1
17.8,5.04
18.0,5.04
18.2,5.04
18.4,5.1
18.6,5.04
18.8,5.04
19.0,5.16
19.2,5.1
19.4,5.1
19.6,5.04
19.8,5.1
20.0,5.1
20.2,5.1
20.4,5.04
20.6,1.86
