Timestamp (s),Bandwidth (Mbps)
0,0
0.2,0.54
0.4,0.3
0.6,0.12
0.8,0.06
1.0,0.12
1.2,0.24
1.4,0.48
1.6,0.48
1.8,1.26
2.0,1.62
2.2,2.7
2.4,2.1
2.6,2.04
2.8,1.98
3.0,2.4
3.2,1.92
3.4,2.04
3.6,1.44
3.8,1.56
4.0,1.08
4.2,1.2
4.4,1.8
4.6,1.86
4.8,1.32
5.0,1.8
5.2,1.86
5.4,1.44
5.6,1.74
5.8,1.92
6.0,1.5
6.2,1.56
6.4,1.56
6.6,1.14
6.8,1.14
7.0,1.68
7.2,1.5
7.4,1.74
7.6,1.8
7.8,1.8
8.0,2.22
8.2,2.16
8.4,2.04
8.6,2.58
8.8,2.22
9.0,2.34
9.2,2.16
9.4,2.46
9.6,1.86
9.8,2.04
10.0,2.7
10.2,2.7
10.4,2.34
10.6,2.82
10.8,2.22
11.0,1.92
11.2,1.86
11.4,2.34
11.6,2.1
11.8,2.04
12.0,1.74
12.2,1.98
12.4,1.68
12.6,1.8
12.8,2.04
13.0,2.16
13.2,1.74
13.4,1.56
13.6,1.62
13.8,1.56
14.0,2.04
14.2,2.52
14.4,1.98
14.6,2.16
14.8,1.5
15.0,1.92
15.2,1.8
15.4,1.62
15.6,1.56
15.8,1.86
16.0,1.68
16.2,2.16
16.4,1.86
16.6,2.1
16.8,1.8
17.0,2.28
17.2,2.22
17.4,2.28
17.6,0.3
17.8,0.0
18.0,1.5
18.2,1.92
18.4,1.44
18.6,2.16
18.8,1.8
19.0,1.5
19.2,1.56
19.4,1.92
19.6,1.56
19.8,1.98
20.0,2.22
20.2,2.04
20.4,1.74
20.6,2.1
20.8,2.04
21.0,2.22
21.2,1.74
21.4,2.16
21.6,2.1
21.8,1.86
22.0,1.74
22.2,1.74
22.4,1.68
22.6,1.86
22.8,1.8
23.0,2.16
23.2,1.86
23.4,1.92
23.6,1.92
23.8,2.22
24.0,1.98
24.2,2.1
24.4,1.62
24.6,2.28
24.8,1.74
25.0,0.3
25.2,0.06
25.4,1.02
25.6,0.42
25.8,0.96
26.0,0.0
26.2,0.0
26.4,0.0
26.6,1.8
26.8,2.34
27.0,1.98
27.2,2.16
27.4,1.2
27.6,0.9
27.8,1.14
28.0,0.06
28.2,0.0
28.4,0.0
28.6,2.28
28.8,1.74
29.0,1.98
29.2,1.8
29.4,2.16
29.6,1.56
29.8,0.0
30.0,0.12
30.2,0.3
30.4,0.3
30.6,1.08
30.8,1.5
31.0,1.74
31.2,1.86
31.4,1.38
31.6,0.06
31.8,0.42
32.0,0.18
32.2,0.18
32.4,0.12
32.6,0.18
32.8,0.12
33.0,0.24
33.2,0.42
33.4,0.06
33.6,0.18
33.8,0.24
34.0,0.06
34.2,0.06
34.4,0.18
34.6,0.0
34.8,0.06
35.0,0.0
35.2,0.06
35.4,0.0
35.6,0.06
35.8,0.24
36.0,0.0
36.2,0.0
36.4,0.0
36.6,0.24
36.8,1.86
37.0,2.64
37.2,1.74
37.4,2.22
37.6,1.38
37.8,1.86
38.0,1.32
38.2,1.74
38.4,1.32
38.6,1.08
38.8,1.56
39.0,0.18
39.2,0.0
39.4,0.0
39.6,0.0
39.8,0.0
40.0,0.42
40.2,0.42
40.4,1.02
40.6,1.02
40.8,1.02
41.0,1.44
41.2,1.56
41.4,1.92
41.6,1.26
41.8,1.44
42.0,1.26
42.2,1.5
42.4,1.86
42.6,1.5
42.8,1.74
43.0,1.86
43.2,1.5
43.4,1.92
43.6,1.74
43.8,1.92
44.0,1.56
44.2,1.32
44.4,1.02
44.6,0.42
44.8,0.0
45.0,0.0
45.2,0.06
45.4,0.0
45.6,0.0
45.8,0.0
46.0,0.06
46.2,0.06
46.4,0.0
46.6,0.06
46.8,0.0
47.0,0.0
47.2,0.0
47.4,0.0
47.6,0.0
47.8,0.0
48.0,0.0
48.2,0.0
48.4,0.0
48.6,0.0
48.8,0.0
49.0,0.0
49.2,0.0
49.4,0.0
49.6,0.0
49.8,0.0
50.0,0.0
50.2,0.0
50.4,0.0
50.6,0.0
50.8,0.0
51.0,0.0
51.2,0.0
51.4,0.0
51.6,0.0
51.8,0.0
52.0,0.0
52.2,0.0
52.4,0.0
52.6,0.0
52.8,0.0
53.0,0.0
53.2,0.0
53.4,0.0
53.6,0.0
53.8,0.0
54.0,0.0
54.2,0.0
54.4,0.0
54.6,0.0
54.8,0.0
55.0,0.0
55.2,0.0
55.4,0.0
55.6,0.06
55.8,0.06
56.0,0.06
56.2,0.06
56.4,0.0
56.6,0.12
56.8,0.06
57.0,0.06
57.2,0.0
57.4,0.0
57.6,0.12
57.8,0.0
58.0,0.0
58.2,0.0
58.4,0.0
58.6,0.0
58.8,0.0
59.0,0.0
59.2,0.0
59.4,0.0
59.6,0.0
59.8,0.0
60.0,0.0
60.2,0.0
60.4,0.0
60.6,0.0
60.8,0.0
61.0,0.0
61.2,0.0
61.4,0.0
61.6,0.0
61.8,0.0
62.0,0.0
62.2,0.0
62.4,0.0
62.6,0.0
62.8,0.0
63.0,0.0
63.2,0.0
63.4,0.0
63.6,0.0
63.8,0.0
64.0,0.0
64.2,0.0
64.4,0.0
64.6,0.0
64.8,0.0
65.0,0.0
65.2,0.0
65.4,0.0
65.6,0.0
65.8,0.0
66.0,0.0
66.2,0.0
66.4,0.0
66.6,0.0
66.8,0.0
67.0,0.0
67.2,0.0
67.4,0.0
67.6,0.0
67.8,0.0
68.0,0.0
68.2,0.0
68.4,0.0
68.6,0.0
68.8,0.0
69.0,0.0
69.2,0.0
69.4,0.0
69.6,0.0
69.8,0.0
70.0,0.0
