abr_type,cc,test_trace,chunk_cnt,bitrate_sum,rebuffer_sum,qoe_sum,avg_throughput,hm_error_rate,overest_ratio,suitable_pre_diff,suitable_real_diff,pre_real_diff,total_lost_ratio,path1_reset_cnt,path2_reset_cnt,avg_path1_srtt,avg_path2_srtt,avg_path1_send_rate,avg_path2_send_rate,avg_path1_send_data,avg_path2_send_data,avg_path1_reinject_data,avg_path2_reinject_data,avg_reinject_ratio,total_reinject_ratio,pre_error_rate,avg_fast_path_ratio,avg_fast_path_bw,avg_avg_rtt,avg_reschedule_cnt,avg_ratio_change_rate
Chorus,Cubic,1~cellular_subway_3~25~cellular_airport~35,79,1073.500,1.010,951.339,14.299,0.281,0.156,274.500,-207.500,-482.000,0.015,0,0,0.133,0.305,10.650,4.333,4870.920,2073.868,32.613,42.314,0.016,0.011,0.253,0.720,9.717,0.202,7.494,0.007
Chorus,Cubic,2~cellular_driving~24~cellular_subwaystation_3~22,83,1196.000,0.674,1154.224,18.325,0.345,0.086,250.000,-194.000,-444.000,0.025,7,0,0.763,0.143,9.436,10.089,3315.411,4342.278,58.903,67.062,0.025,0.016,0.367,0.725,9.730,0.219,12.556,0.007
Chorus,Cubic,3~cellular_hsr_8~54~cellular_driving_2~15,79,390.000,0.792,295.815,5.366,0.247,0.104,63.500,-98.500,-162.000,0.018,19,0,1.066,0.081,1.274,4.445,520.364,1998.598,9.122,22.518,0.018,0.013,0.245,0.808,4.355,0.169,10.104,0.004
Chorus,Cubic,4~cellular_hsr~48~cellular_driving_3~22,77,1100.000,0.547,1014.756,14.556,0.126,0.133,96.000,-402.000,-498.000,0.012,17,1,0.317,0.093,0.424,14.805,182.373,7119.028,57.423,3.622,0.015,0.008,0.168,0.980,14.932,0.162,10.067,0.000
Chorus,Cubic,5~cellular_home~15~cellular_railwaystation_2~21,77,1178.000,0.414,1156.388,16.455,0.230,0.053,228.000,-256.000,-484.000,0.027,0,1,0.119,0.257,9.181,8.408,4358.670,3785.838,62.206,49.723,0.020,0.014,0.114,0.604,8.972,0.216,5.960,0.006
Chorus,Cubic,6~cellular_hsr_6~47~cellular_home_4~26,80,1135.000,0.576,1086.785,16.016,0.336,0.115,379.000,-120.000,-499.000,0.017,0,0,0.350,0.253,6.844,10.020,3228.979,4213.482,55.254,47.589,0.020,0.014,0.259,0.641,8.548,0.254,11.282,0.017
Chorus,Cubic,7~cellular_outdoor_4~52~cellular_home_5~106,77,728.000,2.307,575.603,9.570,0.216,0.213,112.000,-178.000,-290.000,0.007,0,26,0.164,1.575,7.747,2.315,3776.384,967.175,22.909,52.377,0.017,0.016,0.257,0.847,7.522,0.244,15.587,0.002
Chorus,Cubic,8~cellular_outdoor_7~20~cellular_hsr_2~37,82,1260.500,0.434,1238.556,20.813,0.444,0.138,317.000,-216.500,-533.500,0.028,1,9,0.145,1.201,12.469,9.804,5111.120,3100.555,43.750,41.275,0.009,0.010,0.361,0.752,10.084,0.238,10.800,0.009
Chorus,Cubic,9~cellular_hsr_3~34~cellular_subwaystation~15,80,773.500,0.764,648.284,9.985,0.191,0.090,38.500,-162.000,-200.500,0.029,6,0,0.931,0.078,1.298,9.421,573.935,4403.078,36.820,19.790,0.020,0.011,0.203,0.886,9.238,0.199,6.641,0.002
Chorus,Cubic,10~cellular_hsr_4~166~cellular_hsr_7~50,50,50.000,98.842,-1531.440,0.861,0.392,0.143,0.000,0.000,0.000,0.036,13,9,0.676,0.183,0.147,0.771,98.445,420.109,1.856,2.508,0.017,0.008,0.428,0.832,0.653,0.212,6.204,0.003
Chorus,Cubic,11~cellular_hsr_10~52~cellular_hsr_5~76,49,49.000,89.979,-1390.628,1.000,0.561,0.333,0.000,0.000,0.000,0.026,23,16,1.140,0.331,0.078,0.984,50.156,464.930,6.967,2.720,0.030,0.019,1.292,0.905,0.715,0.319,16.500,0.003
Chorus,Cubic,12~cellular_subwaystation_4~14~cellular_hsr_9~84,81,516.500,1.674,425.217,7.422,0.304,0.215,125.500,-65.500,-191.000,0.024,0,17,0.101,1.621,6.482,1.417,2708.479,512.040,32.818,12.739,0.018,0.014,0.779,0.856,5.558,0.186,8.772,0.004
Chorus,Cubic,13~cellular_hsr_12~56~cellular_hsr_14~1002,49,49.000,110.997,-1726.961,0.738,0.270,0.250,0.000,0.000,0.000,0.028,14,34,0.183,2.538,0.702,0.160,457.208,61.337,11.093,1.649,0.025,0.025,0.408,0.895,0.657,0.387,14.708,0.016
Chorus,Cubic,14~cellular_hsr_17~180~cellular_hsr_13~44,71,564.500,43.143,-239.778,11.482,0.699,0.186,272.000,45.500,-226.500,0.010,13,12,1.465,0.436,1.635,10.490,767.640,3345.224,44.801,74.944,0.049,0.029,0.876,0.858,7.398,0.387,14.014,0.008
Chorus,Cubic,15~cellular_hsr_15~87~wifi_office~4,77,505.500,0.988,418.192,6.435,0.105,0.013,15.000,-118.500,-133.500,0.029,26,1,2.138,0.040,0.252,6.586,76.600,3191.982,6.176,7.945,0.012,0.004,0.153,0.961,6.430,0.095,4.829,0.008
Chorus,Cubic,16~cellular_hsr_16~64~cellular_subway~14,77,917.500,1.802,756.157,12.807,0.283,0.360,169.500,-172.000,-341.500,0.025,27,0,2.491,0.097,0.296,13.728,105.294,5940.716,31.892,12.038,0.014,0.007,0.556,0.977,11.991,0.115,4.920,0.000
Chorus,Cubic,17~wifi_home~13~cellular_office~26,83,1271.000,0.517,1247.726,17.968,0.271,0.037,456.000,-93.000,-549.000,0.020,0,6,0.080,0.154,8.291,10.602,3567.610,4505.379,22.595,12.402,0.010,0.004,0.228,0.598,9.194,0.157,10.556,0.015
Chorus,Cubic,18~cellular_office_2~82~cellular_subwaystation_2~14,78,1135.000,0.989,1018.172,17.293,0.226,0.247,258.000,-140.000,-398.000,0.021,0,1,8.920,0.103,4.468,14.527,1769.065,5958.846,63.728,527.780,0.073,0.077,0.285,0.818,13.616,1.027,15.961,0.014
