abr_type,cc,test_trace,chunk_cnt,bitrate_sum,rebuffer_sum,qoe_sum,avg_throughput,hm_error_rate,overest_ratio,suitable_pre_diff,suitable_real_diff,pre_real_diff,total_lost_ratio,path1_reset_cnt,path2_reset_cnt,avg_path1_srtt,avg_path2_srtt,avg_path1_send_rate,avg_path2_send_rate,avg_path1_send_data,avg_path2_send_data
MinRTT,Cubic,1~cellular_subway_3~25~cellular_airport~35,78,1028.000,0.857,927.287,13.967,0.226,0.325,233.500,-204.000,-437.500,0.016,0,0,0.136,0.272,10.175,4.317,4770.878,2088.645
MinRTT,Cubic,2~cellular_driving~24~cellular_subwaystation_3~22,83,1138.500,1.024,1088.121,17.918,0.376,0.366,48.500,-139.500,-188.000,0.026,0,0,0.705,0.150,9.624,9.276,3323.158,3890.364
MinRTT,Cubic,3~cellular_hsr_8~54~cellular_driving_2~15,74,355.500,13.747,68.550,5.205,0.367,0.397,36.000,-75.500,-111.500,0.035,0,0,1.116,0.076,1.653,3.904,676.850,1761.121
MinRTT,Cubic,4~cellular_hsr~48~cellular_driving_3~22,71,829.500,27.603,294.857,12.999,0.481,0.286,130.500,-206.000,-336.500,0.012,0,0,0.387,0.109,0.376,13.105,136.974,5869.228
MinRTT,Cubic,5~cellular_home~15~cellular_railwaystation_2~21,81,1244.500,0.390,1223.260,17.004,0.132,0.475,80.500,-171.500,-252.000,0.023,0,0,0.117,0.493,9.167,8.638,4176.869,3877.932
MinRTT,Cubic,6~cellular_hsr_6~47~cellular_home_4~26,80,1141.000,0.483,1096.277,15.607,0.305,0.367,117.000,-162.000,-279.000,0.014,0,0,0.366,0.269,6.701,9.497,3168.889,4157.583
MinRTT,Cubic,7~cellular_outdoor_4~52~cellular_home_5~106,76,917.000,2.478,792.348,11.867,0.209,0.387,49.000,-280.000,-329.000,0.017,0,0,0.169,1.237,7.111,5.294,3619.028,2469.763
MinRTT,Cubic,8~cellular_outdoor_7~20~cellular_hsr_2~37,82,1256.000,0.418,1234.316,21.573,0.390,0.407,53.500,-85.000,-138.500,0.023,0,0,0.176,1.296,11.471,11.260,4496.862,3533.317
MinRTT,Cubic,9~cellular_hsr_3~34~cellular_subwaystation~15,76,717.000,7.688,514.002,9.493,0.251,0.427,15.500,-174.500,-190.000,0.038,0,0,1.097,0.092,1.526,8.582,667.121,4152.949
MinRTT,Cubic,10~cellular_hsr_4~166~cellular_hsr_7~50,50,50.000,100.837,-1563.388,0.831,0.422,0.367,0.000,0.000,0.000,0.038,0,0,0.652,0.324,0.145,0.744,101.902,420.505
MinRTT,Cubic,11~cellular_hsr_10~52~cellular_hsr_5~76,41,41.000,142.027,-2231.453,0.949,0.869,0.350,3.000,3.000,0.000,0.057,0,0,1.384,0.968,0.119,1.010,57.507,443.273
MinRTT,Cubic,12~cellular_subwaystation_4~14~cellular_hsr_9~84,53,357.500,105.799,-1405.319,7.666,0.814,0.327,80.500,-47.000,-127.500,0.031,0,0,0.124,7.624,6.509,2.045,2411.281,778.521
MinRTT,Cubic,13~cellular_hsr_12~56~cellular_hsr_14~1002,41,41.000,140.769,-2211.293,0.719,0.484,0.525,0.000,0.000,0.000,0.030,0,0,0.183,3.301,0.620,0.227,395.746,105.929
MinRTT,Cubic,14~cellular_hsr_17~180~cellular_hsr_13~44,66,479.500,56.318,-502.585,8.821,0.620,0.308,119.000,-32.500,-151.500,0.059,0,0,2.096,0.982,2.062,7.349,864.133,2795.732
MinRTT,Cubic,15~cellular_hsr_15~87~wifi_office~4,68,398.000,10.966,141.539,6.088,0.353,0.328,42.000,-79.500,-121.500,0.035,0,0,7.579,0.050,0.488,6.199,135.250,2781.203
MinRTT,Cubic,16~cellular_hsr_16~64~cellular_subway~14,58,515.000,83.364,-901.837,9.678,0.790,0.368,107.000,-96.500,-203.500,0.045,0,0,4.151,0.137,0.697,9.753,245.062,4142.149
MinRTT,Cubic,17~wifi_home~13~cellular_office~26,83,1256.000,0.502,1232.963,18.049,0.131,0.402,-8.000,-31.000,-23.000,0.013,0,0,0.094,0.137,7.996,10.712,3405.312,4461.439
MinRTT,Cubic,18~cellular_office_2~82~cellular_subwaystation_2~14,70,996.500,31.243,468.119,17.796,0.509,0.362,28.000,-52.000,-80.000,0.062,0,0,11.425,0.122,5.440,13.589,2161.196,5400.587
MinRTT,Cubic,19~cellular_outdoor_6~24~cellular_office_3~31,77,922.500,5.664,691.373,13.156,0.310,0.276,149.500,-189.500,-339.000,0.021,0,0,0.150,0.086,13.061,0.692,5726.959,326.428
MinRTT,Cubic,20~cellular_office_4~23~wifi_hsr~47,67,79.000,44.929,-648.868,1.285,0.391,0.364,4.000,-8.000,-12.000,0.015,0,0,32.623,0.123,0.168,0.950,57.554,369.642
MinRTT,Cubic,21~cellular_railwaystation~43~cellular_outdoor~57,81,1204.000,0.814,1175.971,20.095,0.207,0.500,47.000,-170.000,-217.000,0.016,0,0,0.494,0.376,10.970,9.821,3781.380,3900.908
MinRTT,Cubic,22~cellular_subway_5~21~cellular_outdoor_2~21,78,1115.500,0.751,1053.478,15.453,0.298,0.481,81.000,-270.000,-351.000,0.041,0,0,1.067,0.110,4.582,11.804,1782.176,5693.608
MinRTT,Cubic,23~cellular_outdoor_3~12~cellular_subwaystation_5~14,49,543.000,1.110,464.241,11.214,0.249,0.375,30.500,-165.000,-195.500,0.011,0,0,31.776,0.094,0.281,11.438,33.614,3985.809
MinRTT,Cubic,24~wifi_walking~42~cellular_outdoor_5~20,51,353.000,101.108,-1344.715,7.219,1.030,0.440,74.500,-66.000,-140.500,0.025,0,0,0.737,0.073,0.439,7.001,145.299,3305.907
MinRTT,Cubic,25~cellular_subway_4~22~cellular_subway_2~27,78,1158.000,0.746,1131.066,16.495,0.251,0.416,18.000,-240.000,-258.000,0.013,0,0,0.262,0.205,5.716,12.628,2615.083,5137.639
