abr_type,cc,test_trace,chunk_cnt,bitrate_sum,rebuffer_sum,qoe_sum,avg_throughput,hm_error_rate,overest_ratio,suitable_pre_diff,suitable_real_diff,pre_real_diff,total_lost_ratio,path1_reset_cnt,path2_reset_cnt,avg_path1_srtt,avg_path2_srtt,avg_path1_send_rate,avg_path2_send_rate,avg_path1_send_data,avg_path2_send_data,avg_path1_reinject_data,avg_path2_reinject_data,avg_reinject_ratio,total_reinject_ratio
MinRTT+RI,Cubic,1~cellular_subway_3~25~cellular_airport~35,78,1041.000,1.929,877.121,14.067,0.224,0.338,266.000,-184.500,-450.500,0.012,0,0,0.139,0.312,11.128,4.464,5058.186,2141.785,161.298,201.985,0.069,0.050
MinRTT+RI,Cubic,2~cellular_driving~24~cellular_subwaystation_3~22,82,1183.000,0.643,1141.706,18.197,0.311,0.346,20.000,-191.000,-211.000,0.034,0,0,0.890,0.215,10.041,10.647,3495.553,4613.793,201.828,309.239,0.078,0.063
MinRTT+RI,Cubic,3~cellular_hsr_8~54~cellular_driving_2~15,74,404.500,13.801,120.699,5.470,0.234,0.425,26.000,-115.500,-141.500,0.019,0,0,1.112,0.100,1.604,4.578,671.787,2150.728,35.443,98.409,0.066,0.047
MinRTT+RI,Cubic,4~cellular_hsr~48~cellular_driving_3~22,76,1089.000,0.822,1020.848,14.678,0.131,0.453,179.000,-344.000,-523.000,0.016,0,0,0.183,0.094,0.884,15.003,264.822,7199.082,118.816,10.021,0.037,0.017
MinRTT+RI,Cubic,5~cellular_home~15~cellular_railwaystation_2~21,78,1183.000,0.445,1160.875,16.084,0.128,0.532,35.500,-286.000,-321.500,0.023,0,0,0.202,0.273,9.316,8.777,4423.995,4046.603,270.081,218.752,0.070,0.058
MinRTT+RI,Cubic,6~cellular_hsr_6~47~cellular_home_4~26,79,1130.000,1.750,1059.996,15.627,0.301,0.385,128.500,-151.500,-280.000,0.014,0,0,0.293,0.281,7.068,10.526,3341.417,4481.985,226.277,284.822,0.086,0.065
MinRTT+RI,Cubic,7~cellular_outdoor_4~52~cellular_home_5~106,78,847.000,2.740,713.171,10.990,0.183,0.351,57.000,-205.000,-262.000,0.011,0,0,0.173,1.034,7.656,5.443,3640.801,2448.232,461.008,142.339,0.121,0.099
MinRTT+RI,Cubic,8~cellular_outdoor_7~20~cellular_hsr_2~37,81,1244.500,0.441,1222.449,20.184,0.361,0.412,53.500,-137.500,-191.000,0.024,0,0,0.265,0.710,12.097,11.176,4922.031,3835.188,410.595,256.718,0.087,0.076
MinRTT+RI,Cubic,9~cellular_hsr_3~34~cellular_subwaystation~15,77,778.500,0.856,674.799,10.192,0.142,0.461,26.500,-178.000,-204.500,0.028,0,0,0.759,0.085,1.610,9.689,688.813,4702.620,141.767,61.405,0.054,0.038
MinRTT+RI,Cubic,10~cellular_hsr_4~166~cellular_hsr_7~50,52,52.000,92.235,-1423.737,0.892,0.429,0.412,0.000,0.000,0.000,0.034,0,0,0.497,0.269,0.177,0.817,112.511,433.441,16.133,12.324,0.053,0.052
MinRTT+RI,Cubic,11~cellular_hsr_10~52~cellular_hsr_5~76,59,71.000,59.939,-897.039,1.187,0.486,0.397,0.000,-12.000,-12.000,0.029,0,0,0.339,0.411,0.160,1.180,78.243,533.048,20.946,7.083,0.048,0.046
MinRTT+RI,Cubic,12~cellular_subwaystation_4~14~cellular_hsr_9~84,57,470.000,82.619,-921.897,8.648,0.813,0.339,58.500,-106.000,-164.500,0.021,0,0,0.087,1.840,7.951,1.876,3406.441,787.203,165.042,58.099,0.081,0.053
MinRTT+RI,Cubic,13~cellular_hsr_12~56~cellular_hsr_14~1002,52,52.000,96.805,-1496.827,0.812,0.318,0.353,0.000,0.000,0.000,0.025,0,0,0.170,2.845,0.724,0.508,431.289,154.574,66.673,6.707,0.129,0.125
MinRTT+RI,Cubic,14~cellular_hsr_17~180~cellular_hsr_13~44,65,585.500,66.979,-567.167,12.367,0.754,0.234,121.500,6.500,-115.000,0.043,0,0,1.961,0.745,3.333,12.747,998.564,4365.241,224.310,378.567,0.174,0.112
MinRTT+RI,Cubic,15~cellular_hsr_15~87~wifi_office~4,77,520.500,1.769,416.682,6.639,0.097,0.500,24.500,-124.500,-149.000,0.023,0,0,0.919,0.051,0.616,6.743,187.564,3238.187,8.737,55.020,0.034,0.019
MinRTT+RI,Cubic,16~cellular_hsr_16~64~cellular_subway~14,74,884.500,12.289,554.877,12.747,0.359,0.452,158.000,-188.500,-346.500,0.023,0,0,0.901,0.111,0.552,13.260,156.534,6022.367,21.389,86.534,0.038,0.017
