abr_type,cc,test_trace,chunk_cnt,bitrate_sum,rebuffer_sum,qoe_sum,avg_throughput,hm_error_rate,overest_ratio,suitable_pre_diff,suitable_real_diff,pre_real_diff
SP,Cubic,1~cellular_subway_3~25,77,766.500,4.041,581.353,10.589,0.304,0.342,-27.500,-217.000,-189.500
SP,Cubic,2~cellular_airport~35,78,337.500,1.461,254.113,4.187,0.116,0.481,21.500,-124.000,-145.500
SP,Cubic,3~cellular_driving~24,75,685.500,18.181,327.603,9.842,0.540,0.324,145.500,-116.500,-262.000
SP,Cubic,4~cellular_subwaystation_3~22,80,742.500,0.438,653.484,9.828,0.128,0.430,8.500,-118.500,-127.000
SP,Cubic,5~cellular_hsr_8~54,65,92.000,50.209,-725.319,1.656,0.665,0.297,12.000,-6.000,-18.000
SP,Cubic,6~cellular_driving_2~15,77,339.000,0.476,280.380,4.512,0.140,0.487,4.000,-123.500,-127.500
SP,Cubic,7~cellular_hsr~48,18,18.000,224.138,-3568.191,0.278,0.512,0.353,0.000,0.000,0.000
SP,Cubic,8~cellular_driving_3~22,76,1105.500,2.217,1007.017,14.560,0.126,0.453,136.000,-392.500,-528.500
SP,Cubic,9~cellular_home~15,77,684.000,0.708,590.169,8.978,0.167,0.276,11.500,-105.000,-116.500
SP,Cubic,10~cellular_railwaystation_2~21,76,747.000,5.656,555.522,9.947,0.176,0.427,11.000,-185.000,-196.000
SP,Cubic,11~cellular_hsr_6~47,77,523.500,0.799,452.218,6.666,0.118,0.526,32.000,-124.500,-156.500
SP,Cubic,12~cellular_home_4~26,75,786.000,17.504,385.913,10.566,0.282,0.338,2.000,-237.000,-239.000
SP,Cubic,13~cellular_outdoor_4~52,77,628.000,3.210,510.623,8.198,0.167,0.500,17.000,-127.000,-144.000
SP,Cubic,14~cellular_home_5~106,75,380.500,6.227,200.874,5.017,0.311,0.257,10.500,-146.000,-156.500
SP,Cubic,15~cellular_outdoor_7~20,75,883.000,12.188,568.991,12.611,0.292,0.392,8.000,-302.000,-310.000
SP,Cubic,16~cellular_hsr_2~37,72,836.000,18.838,389.623,14.648,0.499,0.380,215.500,-81.500,-297.000
SP,Cubic,17~cellular_hsr_3~34,62,100.500,59.076,-869.262,1.694,0.572,0.344,7.500,-19.000,-26.500
SP,Cubic,18~cellular_subwaystation~15,77,720.500,0.685,621.038,9.271,0.107,0.461,22.500,-111.500,-134.000
SP,Cubic,19~cellular_hsr_4~166,2,2.000,51.299,-818.793,0.077,0.810,0.000,0.000,0.000,0.000
SP,Cubic,20~cellular_hsr_7~50,41,41.000,137.693,-2162.125,0.667,0.487,0.425,0.000,0.000,0.000
SP,Cubic,21~cellular_hsr_10~52,2,2.000,200.788,-3210.608,0.086,4.361,1.000,0.000,0.000,0.000
SP,Cubic,22~cellular_hsr_5~76,62,71.000,49.411,-722.583,1.263,0.516,0.459,7.500,0.000,-7.500
SP,Cubic,23~cellular_subwaystation_4~14,76,548.000,6.819,320.908,7.547,0.304,0.427,58.500,-120.000,-178.500
SP,Cubic,24~cellular_hsr_9~84,39,92.000,158.862,-2473.301,2.590,1.214,0.289,32.000,-10.500,-42.500
SP,Cubic,25~cellular_hsr_12~56,45,45.000,122.355,-1912.687,0.647,0.310,0.500,0.000,0.000,0.000
SP,Cubic,26~cellular_hsr_14~1002,4,4.000,157.453,-2515.254,0.084,0.343,0.333,0.000,0.000,0.000
SP,Cubic,27~cellular_hsr_17~180,58,149.000,74.504,-1074.057,2.737,0.583,0.368,28.500,-32.500,-61.000
SP,Cubic,28~cellular_hsr_13~44,58,545.500,86.993,-945.376,12.424,0.989,0.263,146.500,10.500,-136.000
SP,Cubic,29~cellular_hsr_15~87,30,30.000,139.856,-2207.729,0.768,1.006,0.414,0.000,0.000,0.000
SP,Cubic,30~wifi_office~4,77,495.500,1.099,395.418,6.222,0.046,0.487,12.500,-114.500,-127.000
SP,Cubic,31~cellular_hsr_16~64,62,62.000,59.471,-889.500,1.034,0.485,0.426,1.500,1.500,0.000
SP,Cubic,32~cellular_subway~14,76,916.000,3.092,755.526,12.878,0.335,0.413,155.500,-197.500,-353.000
SP,Cubic,33~wifi_home~13,81,619.500,0.814,521.478,7.947,0.146,0.500,95.000,-99.500,-194.500
SP,Cubic,34~cellular_office~26,77,814.000,1.490,664.652,10.523,0.143,0.237,-0.500,-223.000,-222.500
SP,Cubic,35~cellular_office_2~82,78,589.000,1.249,497.520,7.338,0.159,0.377,20.500,-123.000,-143.500
SP,Cubic,36~cellular_subwaystation_2~14,76,1108.500,4.168,962.818,15.068,0.184,0.440,264.500,-235.500,-500.000
SP,Cubic,37~cellular_outdoor_6~24,76,895.500,5.398,676.131,12.475,0.326,0.360,126.000,-194.000,-320.000
SP,Cubic,38~cellular_office_3~31,45,45.000,127.719,-1998.518,0.589,0.140,0.636,0.000,0.000,0.000
SP,Cubic,39~cellular_office_4~23,18,18.000,229.198,-3649.150,0.232,0.435,0.471,0.000,0.000,0.000
SP,Cubic,40~wifi_hsr~47,50,50.000,31.584,-455.353,1.001,0.243,0.367,0.000,0.000,0.000
SP,Cubic,41~cellular_railwaystation~43,72,843.000,19.172,464.266,12.483,0.360,0.535,47.000,-136.000,-183.000
SP,Cubic,42~cellular_outdoor~57,80,795.000,1.405,633.525,10.100,0.147,0.456,25.000,-173.500,-198.500
SP,Cubic,43~cellular_subway_5~21,72,352.500,17.666,-9.182,5.768,0.484,0.408,107.500,-39.000,-146.500
