abr_type,cc,test_trace,chunk_cnt,bitrate_sum,rebuffer_sum,qoe_sum,avg_throughput,hm_error_rate,overest_ratio,suitable_pre_diff,suitable_real_diff,pre_real_diff,total_lost_ratio,path1_reset_cnt,path2_reset_cnt,avg_path1_srtt,avg_path2_srtt,avg_path1_send_rate,avg_path2_send_rate,avg_path1_send_data,avg_path2_send_data,avg_path1_reinject_data,avg_path2_reinject_data,avg_reinject_ratio,total_reinject_ratio
XLINK,Cubic,1~cellular_subway_3~25~cellular_airport~35,78,1036.500,1.854,889.833,14.062,0.226,0.364,244.500,-204.000,-448.500,0.014,0,0,0.127,0.270,10.415,4.331,4815.133,2088.766,9.152,18.109,0.019,0.004
XLINK,Cubic,2~cellular_driving~24~cellular_subwaystation_3~22,82,1185.500,0.658,1143.979,18.688,0.333,0.333,46.500,-175.000,-221.500,0.024,0,0,0.630,0.140,10.081,9.657,3456.167,4053.959,11.685,4.355,0.017,0.002
XLINK,Cubic,3~cellular_hsr_8~54~cellular_driving_2~15,76,386.500,5.360,237.753,5.197,0.244,0.453,32.500,-104.500,-137.000,0.038,0,0,1.158,0.085,1.624,4.106,678.193,1922.355,7.833,26.235,0.021,0.013
XLINK,Cubic,4~cellular_hsr~48~cellular_driving_3~22,77,1013.000,3.043,908.289,13.648,0.241,0.395,118.000,-330.000,-448.000,0.017,0,0,0.373,0.101,0.616,13.959,160.728,6580.178,17.484,1.905,0.018,0.003
XLINK,Cubic,5~cellular_home~15~cellular_railwaystation_2~21,82,1260.500,0.412,1238.907,17.084,0.121,0.432,24.500,-171.500,-196.000,0.026,0,0,0.098,0.218,9.217,8.900,4151.191,3939.436,7.100,2.776,0.010,0.001
XLINK,Cubic,6~cellular_hsr_6~47~cellular_home_4~26,80,1140.500,0.646,1088.157,15.659,0.295,0.367,137.500,-127.000,-264.500,0.015,0,0,0.358,0.297,6.666,9.700,3138.540,4184.422,5.198,1.601,0.011,0.001
XLINK,Cubic,7~cellular_outdoor_4~52~cellular_home_5~106,76,851.500,2.522,758.153,11.021,0.202,0.467,67.500,-209.500,-277.000,0.016,0,0,0.150,1.170,6.376,5.246,3230.745,2463.611,35.248,15.890,0.015,0.009
XLINK,Cubic,8~cellular_outdoor_7~20~cellular_hsr_2~37,82,1240.000,0.442,1217.921,21.221,0.364,0.432,16.500,-109.000,-125.500,0.027,0,0,0.187,1.248,11.225,11.301,4366.744,3584.268,0.931,9.232,0.009,0.001
XLINK,Cubic,9~cellular_hsr_3~34~cellular_subwaystation~15,77,756.500,0.702,646.775,9.732,0.200,0.500,20.000,-187.500,-207.500,0.029,0,0,0.976,0.092,1.442,8.928,621.880,4311.086,9.620,8.322,0.016,0.004
XLINK,Cubic,10~cellular_hsr_4~166~cellular_hsr_7~50,53,53.000,85.868,-1320.891,0.870,0.423,0.385,0.000,0.000,0.000,0.034,0,0,0.584,0.325,0.165,0.779,107.890,429.062,15.467,6.248,0.035,0.040
XLINK,Cubic,11~cellular_hsr_10~52~cellular_hsr_5~76,62,68.000,48.284,-707.524,1.295,0.595,0.344,10.500,4.500,-6.000,0.024,0,0,0.919,0.470,0.126,1.377,68.235,512.341,13.663,2.793,0.022,0.028
XLINK,Cubic,12~cellular_subwaystation_4~14~cellular_hsr_9~84,46,201.500,131.628,-1956.551,4.369,1.260,0.400,21.500,-55.500,-77.000,0.070,0,0,0.094,2.352,2.285,2.554,1106.533,971.839,19.948,17.319,0.017,0.018
XLINK,Cubic,13~cellular_hsr_12~56~cellular_hsr_14~1002,48,48.000,115.567,-1801.069,0.784,0.462,0.362,0.000,0.000,0.000,0.025,0,0,0.165,2.933,0.707,0.482,438.489,129.100,49.617,4.776,0.088,0.096
XLINK,Cubic,14~cellular_hsr_17~180~cellular_hsr_13~44,66,499.500,52.814,-439.537,8.968,0.745,0.292,135.500,-45.500,-181.000,0.036,0,0,2.677,0.615,2.584,7.414,1069.180,2828.274,53.267,16.335,0.042,0.018
XLINK,Cubic,15~cellular_hsr_15~87~wifi_office~4,76,473.500,1.292,409.828,6.262,0.170,0.387,4.500,-105.000,-109.500,0.026,0,0,2.766,0.050,0.500,6.508,145.838,2996.037,3.749,25.854,0.022,0.009
XLINK,Cubic,16~cellular_hsr_16~64~cellular_subway~14,78,709.500,1.316,609.437,9.762,0.371,0.442,111.500,-123.000,-234.500,0.035,0,0,10.463,0.096,0.704,9.942,274.792,4419.189,6.952,137.279,0.046,0.031
XLINK,Cubic,17~wifi_home~13~cellular_office~26,83,1250.000,0.558,1226.061,18.105,0.136,0.390,-10.500,-25.000,-14.500,0.010,0,0,0.099,0.139,8.268,10.675,3438.956,4418.423,9.346,2.449,0.015,0.002
XLINK,Cubic,18~cellular_office_2~82~cellular_subwaystation_2~14,77,1127.500,0.664,1085.879,16.775,0.296,0.395,25.000,-153.500,-178.500,0.034,0,0,8.042,0.078,3.745,10.784,1498.256,4595.045,12.722,2.466,0.017,0.002
XLINK,Cubic,19~cellular_outdoor_6~24~cellular_office_3~31,76,904.000,7.083,655.666,13.154,0.318,0.387,164.000,-164.500,-328.500,0.019,0,0,0.138,0.086,13.075,0.810,5699.260,345.963,2.078,23.516,0.018,0.004
XLINK,Cubic,20~cellular_office_4~23~wifi_hsr~47,65,71.000,44.531,-644.512,1.009,0.351,0.391,0.000,-6.000,-6.000,0.008,0,0,25.499,0.152,0.243,0.816,128.972,402.022,11.828,108.482,0.142,0.227
XLINK,Cubic,21~cellular_railwaystation~43~cellular_outdoor~57,81,1213.500,0.874,1184.526,20.343,0.209,0.525,70.000,-133.000,-203.000,0.007,0,0,0.516,0.352,11.218,9.839,3844.733,3903.425,5.300,4.875,0.015,0.001
XLINK,Cubic,22~cellular_subway_5~21~cellular_outdoor_2~21,77,1119.000,0.769,1078.185,15.479,0.267,0.487,35.500,-305.000,-340.500,0.037,0,0,1.195,0.105,4.554,12.083,1693.391,5900.966,10.349,13.397,0.017,0.003
XLINK,Cubic,23~cellular_outdoor_3~12~cellular_subwaystation_5~14,76,639.000,3.397,519.643,8.347,0.285,0.373,21.000,-178.500,-199.500,0.010,0,0,7.045,0.081,0.439,8.728,130.488,4053.384,12.796,115.739,0.047,0.031
XLINK,Cubic,24~wifi_walking~42~cellular_outdoor_5~20,79,514.000,1.616,414.139,6.964,0.393,0.423,54.000,-91.000,-145.000,0.003,0,0,0.614,0.074,0.400,6.811,96.904,3082.975,11.294,4.168,0.014,0.005
XLINK,Cubic,25~cellular_subway_4~22~cellular_subway_2~27,78,1154.000,0.788,1126.386,16.763,0.257,0.390,26.000,-212.000,-238.000,0.009,0,0,0.265,0.211,5.956,12.947,2693.184,5037.065,2.078,7.411,0.009,0.001
XLINK,Cubic,26~wifi_home_2~12~cellular_subwaystation_6~43,77,1073.500,2.873,948.527,14.634,0.181,0.487,120.000,-296.500,-416.500,0.005,0,0,0.092,0.133,10.960,4.311,5215.308,2019.269,3.264,16.277,0.012,0.003
